facility_code,reporting_month,item_category,opening_stock,received_quantity,outgoing_quantity,documented_internal_use,documented_waste,closing_stock,unit,inventory_status
FCL-1024,2024-08-01,biological_sample,0.00,0.00,0.00,0.84,0.21,0.92 sealed_lot,sealed_lot,closed
FCL-1024,2025-04-01,biological_sample,0.92,4.00,0.00,0.17,0.04,0.00,sealed_lot,closed
FCL-1024,2025-06-01,biological_sample,0.00,4.07,6.28,0.00,0.16,0.00,sealed_lot,closed
FCL-1024,2018-02-01,medical_consumables,39.27,0.00,0.00,3.65,0.04,38.74,case,closed
FCL-1024,2018-03-01,medical_consumables,38.74,0.00,0.00,2.24,0.22,35.28,case,closed
FCL-1024,2018-05-01,medical_consumables,35.28,8.81,0.00,0.73,1.72,41.31,case,closed
FCL-1024,2019-01-01,medical_consumables,41.31,3.87,8.61,2.31,0.99,32.24,case,closed
FCL-1024,2019-08-01,medical_consumables,32.24,8.34,0.00,3.99,1.16,38.46,case,closed
FCL-1024,2019-09-01,medical_consumables,38.46,7.52,7.60,3.52,"1,45",32.53,case,closed
FCL-1024,2019-11-01,medical_consumables,32.53,5.12,0.00,0.77,0.69,34.68,case,closed
FCL-1024,2020-04-01,medical_consumables,34.68,0.00,6.27,0.88,0.37,30.62,case,closed
FCL-1024,2020-06-01,medical_consumables,30.62,0.00,0.00,3.89,0.80,26.43,case,closed
FCL-1024,2021-03-01,medical_consumables,26.43,0.00,0.00,3.54,0.78,24.33,case,closed
FCL-1024,2021-05-01,medical_consumables,24.33,3.26,1.01,3.81,1.04,22.90,case,closed
FCL-1024,2022-02-01,medical_consumables,22.90,5.88,4.76,1.91,0.01,22.30,case,closed
FCL-1024,2022-10-01,medical_consumables,22.30,0.00,0.00,3.32,1.03,17.68,case,closed
FCL-1024,2023-09-01,medical_consumables,17.68,7.23,0.00,2.78,0.73,23.84,case,closed
FCL-1024,2023-11-01,medical_consumables,23.84,6.67,0.00,1.33,0.07,31.02,case,closed
FCL-1024,2024-03-01,medical_consumables,31.02,0.00,5.96,0.34,0.93,27.21,case,closed
FCL-1024,2024-05-01,medical_consumables,27.21,0.00,6.10,0.66,0.18,18.53,case,closed
FCL-1024,2024-08-01,medical_consumables,18.53,1.48,0.00,2.22,0.19,16.34,case,provisional
FCL-1024,2025-04-01,medical_consumables,16.34,7.21,0.00,0.86,0.74,21.59,case,closed
FCL-1024,2025-06-01,medical_consumables,21.59,11.75,0.00,0.36,0.48,32.20,case,closed
FCL-1024,2018-02-01,monitoring_equipment,30.53,3.68,0.00,4.96,0.93,27.56,kit,provisional
FCL-1024,2018-03-01,monitoring_equipment,27.56,0.00,7.45,2.20,1.24,17.00,kit,closed
FCL-1024,2018-05-01,monitoring_equipment,17.00,7.83,0.00,1.91,0.16,19.63,kit,closed
FCL-1024,2019-01-01,monitoring_equipment,19.63,0.00,5.55,1.86,0.90,13.21,kit,provisional
FCL-1024,2019-08-01,monitoring_equipment,13.21,5.69,0.00,0.88,0.56,19.62,kit,provisional
FCL-1024,2019-09-01,monitoring_equipment,19.62,0.00,0.00,0.72,0.48,17.25,kit,closed
FCL-1024,2019-11-01,monitoring_equipment,17.25,5.08,5.20,1.98,0.39,14.36,kit,closed
FCL-1024,2020-04-01,monitoring_equipment,14.36,0.00,8.22,2.13,0.62,4.35,kit,closed
FCL-1024,2020-06-01,monitoring_equipment,4.35,1.22,7.68,0.00,0.41,0.00,kit,closed
FCL-1024,2021-03-01,monitoring_equipment,0.00,11.38,4.41,0.48,0.39,13.79,kit,provisional
FCL-1024,2021-05-01,monitoring_equipment,13.79,9.20,0.00,0.40,0.44,20.71,kit,closed
FCL-1024,2022-02-01,monitoring_equipment,20.71,11.24,0.00,1.63,0.44,30.31,kit,closed
FCL-1024,2022-10-01,monitoring_equipment,30.31,7.70,5.30,0.32,0.35,32.41,kit,closed
FCL-1024,2023-09-01,monitoring_equipment,32.41,0.00,0.00,4.17,0.85,26.65,kit,closed
FCL-1024,2023-11-01,monitoring_equipment,26.65,0.00,0.00,3.39,0.90,22.79,kit,closed
FCL-1024,2024-03-01,monitoring_equipment,22.79 kit,3.39,0.00,3.96,1.12,16.69,kit,closed
FCL-1024,2024-05-01,monitoring_equipment,16.69,5.60,2.53,2.28,0.77,16.80,kit,closed
FCL-1024,2024-08-01,monitoring_equipment,16.80,0.00,0.14,2.86,0.09,15.96,kit,closed
FCL-1024,2025-04-01,monitoring_equipment,15.96,7.62,0.00,0.67,0.25,24.65,kit,closed
FCL-1024,2025-06-01,monitoring_equipment,24.65,0.00,0.00,2.70,0.95,18.69,kit,closed
FCL-1024,2018-02-01,protective_equipment,44.20,0.00,6.50,0.73,0.34,35.55,case,closed
FCL-1024,2018-03-01,protective_equipment,35.55,7.99,7.00,6.27,1.29,27.11,case,closed
FCL-1024,2018-05-01,protective_equipment,27.11,5.41,0.00,2.77,0.56,26.94,case,closed
FCL-1024,2019-01-01,protective_equipment,26.94,8.67,0.28,0.16,1.23,32.15,case,closed
FCL-1024,2019-08-01,protective_equipment,32.15,5.18,5.05,2.76,0.10,28.78,case,closed
FCL-1024,2019-09-01,protective_equipment,28.78,0.00,7.46,0.43,1.30,20.87,case,closed
FCL-1024,2019-11-01,protective_equipment,20.87,0.00,7.24,3.16,0.60,8.17,case,closed
FCL-1024,2020-04-01,protective_equipment,8.17,0.00,6.45,0.16,0.22,0.00,case,closed
FCL-1024,2020-06-01,protective_equipment,0.00,0.00,0.00,0.00,0.12,0.00,case,closed
FCL-1024,2021-03-01,protective_equipment,0.00,0.00,1.38,0.00,0.47,0.00,case,provisional
FCL-1024,2021-05-01,protective_equipment,0.00,10.56,0.00,0.71,0.27,8.23,case,closed
FCL-1024,2022-02-01,protective_equipment,8.23,0.00,0.00,1.00,0.29,5.17,case,closed
FCL-1024,2022-10-01,protective_equipment,5.17,1.66,0.00,0.43,0.38,7.11,case,closed
FCL-1024,2023-09-01,protective_equipment,7.11,4.05,0.00,0.50,0.04,9.55,case,closed
FCL-1024,2023-11-01,protective_equipment,9.55,5.84,0.00,0.06,0.08,14.98,case,closed
FCL-1024,2024-03-01,protective_equipment,14.98,3.11,4.33,1.30,0.11,14.18,case,closed
FCL-1024,2024-05-01,protective_equipment,14.18,10.32,6.85,0.22,0.36,18.88,case,closed
FCL-1024,2024-08-01,protective_equipment,18.88,0.00,0.00,1.42,0.70,13.73,case,closed
FCL-1024,2025-04-01,protective_equipment,13.73,7.12,0.00,0.02,0.13,19.45,case,closed
FCL-1024,2025-06-01,protective_equipment,19.45,9.13,8.18,0.74,0.09,22.19,case,closed
FCL-1024,2018-02-01,agricultural_product,35.96,0.00,0.00,1.13,0.87,32.85,pallet,closed
FCL-1024,2018-03-01,agricultural_product,32.85,7.80,8.86,1.33,0.16,31.16,pallet,closed
FCL-1024,2018-05-01,agricultural_product,31.16,1.87,0.00,0.17,0.51,33.53,pallet,closed
FCL-1024,2019-01-01,agricultural_product,33.53,2.62,4.57,2.14,0.53,27.38,pallet,closed
FCL-1024,2019-08-01,agricultural_product,27.38,2.52,5.64,3.43,0.96,21.80,pallet,closed
FCL-1024,2019-09-01,agricultural_product,21.80,6.46,0.00,0.72,0.18,29.25,pallet,closed
FCL-1024,2019-11-01,agricultural_product,29.25,11.39,0.00,1.08,0.23,38.81,pallet,closed
FCL-1024,2020-04-01,agricultural_product,38.81,0.00,5.01,2.18,1.32,30.97,pallet,CLOSED
FCL-1024,2020-06-01,agricultural_product,30.97,0.00,1.76,0.76,0.37,28.47,pallet,closed
FCL-1024,2021-03-01,agricultural_product,28.47,0.00,0.00,3.17,1.07,24.45,pallet,closed
FCL-1024,2021-05-01,agricultural_product,24.45,0.00,5.26,2.12,0.59,16.19,pallet,closed
FCL-1024,2022-02-01,agricultural_product,16.19,8.39,0.00,1.26,0.11,25.58,pallet,closed
FCL-1024,2022-10-01,agricultural_product,25.58,0.00,3.39,0.83,0.67,23.76,pallet,closed
FCL-1024,2023-09-01,agricultural_product,23.76,8.57,0.00,4.08,0.60,27.86,pallet,closed
FCL-1024,2023-11-01,agricultural_product,27.86,0.00,0.00,2.40,1.25,24.73,pallet,closed
FCL-1024,2024-03-01,agricultural_product,24.73,0.00,0.00,3.51,1.18,18.50,pallet,closed
FCL-1024,2024-05-01,agricultural_product,18.50,"1,04",6.03,0.92,0.30,8.84,pallet,closed
FCL-1024,2024-08-01,agricultural_product,8.84,1.59,6.49,0.46,0.03,3.80,pallet,closed
FCL-1024,2025-04-01,agricultural_product,3.80,8.62,4.52,0.69,0.00,7.74,pallet,closed
FCL-1024,2025-06-01,agricultural_product,7.74,0.00,0.00,0.05,0.39,10.29,pallet,closed
FCL-1019,2018-02-01,biological_sample,62.97,11.65,0.00,1.90,2.92,67.81,sealed_lot,closed
FCL-1019,2018-03-01,biological_sample,67.81,0.00,0.00,10.40,2.35,57.30,sealed_lot,closed
FCL-1019,2018-05-01,biological_sample,57.30,3.00,3.00,9.21,0.14,30.32,sealed_lot,closed
FCL-1019,2019-01-01,biological_sample,30.32,0.00,7.20,1.07,1.36,23.17,sealed_lot,closed
FCL-1019,2019-08-01,biological_sample,23.17,6.55,2.08,2.21,0.64,25.15,sealed_lot,closed
FCL-1019,2019-09-01,biological_sample,25.15,11.05,2.94,2.55,1.11,28.43,sealed_lot,closed
FCL-1019,2019-11-01,biological_sample,28.43,7.00,7.00,2.77,0.48,3.38,sealed_lot,closed
FCL-1019,2020-04-01,biological_sample,3.38,7.00,6.28,0.49,0.39,9.52,sealed_lot,closed
FCL-1019,2020-06-01,biological_sample,9.52,5.00,5.00,0.56,0.13,0.00,sealed_lot,revised
FCL-1019,2021-03-01,biological_sample,0.00,4.57,0.00,0.98,0.37,5.53,sealed_lot,closed
FCL-1019,2021-05-01,biological_sample,5.53,2.00,2.00,0.62,0.42,0.00,sealed_lot,provisional
FCL-1019,2022-02-01,biological_sample,0.00,7.21,8.95,0.00,0.29,0.00,sealed_lot,closed
FCL-1019,2022-10-01,biological_sample,0.00,7.68,0.00,0.05,0.10,11.11,sealed_lot,closed
FCL-1019,2023-09-01,biological_sample,11.11,0.00,6.00,0.34,0.45,6.57,sealed_lot,closed
FCL-1019,2023-11-01,biological_sample,6.57,8.00,8.00,0.59,0.26,0.00,sealed_lot,closed
FCL-1019,2024-03-01,biological_sample,0.00,0.00,0.00,0.00,0.20,0.00,sealed_lot,closed
FCL-1019,2024-05-01,biological_sample,0.00,3.00,3.00,0.00,0.31,0.00,sealed_lot,revised
FCL-1019,2024-08-01,biological_sample,0.00,0.00,0.00,0.00,0.38,1.34,sealed_lot,closed
FCL-1019,2025-04-01,biological_sample,1.34,5.01,0.00,0.99,0.39,2.72,sealed_lot,provisional
FCL-1019,2025-06-01,biological_sample,2.72,8.00,8.00,0.00,0.22,0.00,sealed_lot,closed
FCL-1019,2018-02-01,medical_consumables,51.42,0.00,8.21,9.11,1.95,33.69,case,closed
FCL-1019,2018-03-01,medical_consumables,33.69,1.48,0.00,1.19,0.83,35.55,case,closed
FCL-1019,2018-05-01,medical_consumables,35.55,0.00,0.00,4.84,0.22,30.82,case,closed
FCL-1019,2019-01-01,medical_consumables,30.82,4.19,4.63,3.45,1.37,27.24,case,closed
FCL-1019,2019-08-01,medical_consumables,27.24,0.00,0.00,3.47,0.12,23.28,case,closed
FCL-1019,2019-09-01,medical_consumables,23.28,64.00,0.00,0.78,0.89,88.27,case,closed
FCL-1019,2019-11-01,medical_consumables,88.27,9.46,0.00,13.34,1.19,82.12,case,closed
FCL-1019,2020-04-01,medical_consumables,82.12,0.00,6.39,6.87,3.72,63.70,case,closed
FCL-1019,2020-06-01,medical_consumables,63.70,10.60,8.54,4.16,0.65,62.76,case,closed
FCL-1019,2021-03-01,medical_consumables,62.76,0.00,0.00,8.38,2.60,53.47,case,closed
FCL-1019,2021-05-01,medical_consumables,53.47,61.00,0.00,4.94,1.47,107.92,case,closed
FCL-1019,2022-02-01,medical_consumables,107.92,4.81,0.00,11.15,0.01,99.60,case,closed
FCL-1019,2022-10-01,medical_consumables,99.60,5.85,0.00,2.74,0.73,101.71,case,provisional
FCL-1019,2023-09-01,medical_consumables,101.71,3.00,3.80,2.37,3.60,91.58,case,provisional
FCL-1019,2023-11-01,medical_consumables,91.58,10.50,2.39,7.13,0.44,92.30,case,closed
FCL-1019,2024-03-01,medical_consumables,92.30,0.00,0.00,5.25,1.41,87.90,case,closed
FCL-1019,2024-05-01,medical_consumables,87.90,0.00,0.00,1.24,2.43,85.19,case,closed
FCL-1019,2024-08-01,medical_consumables,85.19,6.26,0.00,0.13,3.48,90.92,case,closed
FCL-1019,2025-04-01,medical_consumables,90.92,0.00,0.00,1.86,3.53,84.15,case,provisional
FCL-1019,2025-06-01,medical_consumables,84.15,0.00,0.00,1.04,3.48,79.24,case,closed
FCL-1019,2018-02-01,monitoring_equipment,35.87,5.09,0.00,4.95,0.26,36.21,kit,closed
FCL-1019,2018-03-01,monitoring_equipment,36.21,11.26,2.21,0.49,1.55,42.11,kit,closed
FCL-1019,2018-05-01,monitoring_equipment,42.11,14.00,0.00,7.48,1.99,46.56,kit,closed
FCL-1019,2019-01-01,monitoring_equipment,46.56,7.17,0.00,4.26,1.47,48.08,kit,closed
FCL-1019,2019-08-01,monitoring_equipment,48.08,3.16,0.00,3.36,2.11,46.22,kit,closed
FCL-1019,2019-09-01,monitoring_equipment,46.22,1.00,0.00,5.81,1.13,42.35,kit,provisional
FCL-1019,2019-11-01,monitoring_equipment,42.35,26.00,1.12,2.10,1.45,61.74,kit,closed
FCL-1019,2020-04-01,monitoring_equipment,61.74,21.00,0.00,2.75,0.47,78.56,kit,closed
FCL-1019,2020-06-01,monitoring_equipment,78.56,4.14,2.66,5.10,0.96,75.63,kit,closed
FCL-1019,2021-03-01,monitoring_equipment,75.63,0.00,0.00,3.70,0.88,72.99,kit,closed
FCL-1019,2021-05-01,monitoring_equipment,72.99,9.62,0.00,4.35,3.34,75.12,kit,provisional
FCL-1019,2022-02-01,monitoring_equipment,75.12 kit,21.00,20.00,6.38,3.07,67.69,kit,closed
FCL-1019,2022-10-01,monitoring_equipment,67.69,29.00,0.00,1.80,2.44,92.79,kit,closed
FCL-1019,2023-09-01,monitoring_equipment,92.79,20.00,0.00,10.04,2.82,107.40,kit,closed
FCL-1019,2023-11-01,monitoring_equipment,107.40,0.00,0.00,3.50,3.15,101.34,kit,closed
FCL-1019,2024-03-01,monitoring_equipment,101.34,6.51,4.88,0.01,4.81,99.39,kit,closed
FCL-1019,2024-05-01,monitoring_equipment,99.39,9.25,0.00,13.23,4.88,73.84,kit,revised
FCL-1019,2024-08-01,monitoring_equipment,73.84,0.00,1.14,10.27,1.08,62.86,kit,closed
FCL-1019,2025-04-01,monitoring_equipment,62.86,11.93,1.11,9.07,0.01,64.44,kit,closed
FCL-1019,2025-06-01,monitoring_equipment,64.44,0.00,0.18,9.48,0.97,52.10,kit,closed
FCL-1019,2018-02-01,protective_equipment,59.27,9.58,0.00,1.00,1.53,64.96,case,provisional
FCL-1019,2018-03-01,protective_equipment,64.96,2.54,0.00,2.03,0.26,64.43,case,closed
FCL-1019,2018-05-01,protective_equipment,64.43,4.09,0.00,8.99,1.04,60.16,case,provisional
FCL-1019,2019-01-01,protective_equipment,60.16,9.72,4.03,0.06,2.75,63.96,case,closed
FCL-1019,2019-08-01,protective_equipment,63.96,7.31,5.16,0.08,1.62,65.85,case,closed
FCL-1019,2019-09-01,protective_equipment,65.85,0.00,6.56,2.17,1.99,58.19,case,closed
FCL-1019,2019-11-01,protective_equipment,58.19,10.18,6.70,8.78,1.07,53.34,case,closed
FCL-1019,2020-04-01,protective_equipment,53.34,34.00,8.86,4.26,2.64,74.59 case,case,closed
FCL-1019,2020-06-01,protective_equipment,74.59,8.90,0.00,7.45,3.61,72.50,case,provisional
FCL-1019,2021-03-01,protective_equipment,72.50,0.00,5.04,9.91,1.81,57.10,case,closed
FCL-1019,2021-05-01,protective_equipment,57.10,11.93,0.00,1.03,2.10,64.71,case,closed
FCL-1019,2022-02-01,protective_equipment,64.71,9.39,3.00,1.96,2.25,68.08,case,closed
FCL-1019,2022-10-01,protective_equipment,68.08,0.00,0.00,1.40,1.01,64.37,case,closed
FCL-1019,2023-09-01,protective_equipment,64.37,5.24,8.81,8.62,2.61,48.96,case,closed
FCL-1019,2023-11-01,protective_equipment,48.96,0.00,5.28,8.01,2.08,31.96,case,provisional
FCL-1019,2024-03-01,protective_equipment,31.96,10.99,0.00,0.93,0.53,31.74,case,revised
FCL-1019,2024-05-01,protective_equipment,31.74,9.24,0.00,3.65,0.67,36.14,case,closed
FCL-1019,2024-08-01,protective_equipment,36.14,0.00,0.00,3.86,0.01,31.37,case,closed
FCL-1019,2025-04-01,protective_equipment,31.37,0.00,7.04,5.59,0.67,19.21,case,closed
FCL-1019,2025-06-01,protective_equipment,19.21,53.30,3.70,2.04,0.61,63.30,case,closed
FCL-1019,2018-02-01,agricultural_product,17.55,0.00,2.29,1.29,0.66,8.18,pallet,provisional
FCL-1019,2018-03-01,agricultural_product,8.18,11.58,0.00,0.23,0.27,18.31,pallet,closed
FCL-1019,2018-05-01,agricultural_product,18.31,10.66,0.00,1.48,0.16,27.83,pallet,closed
FCL-1019,2019-01-01,agricultural_product,27.83,0.00,0.70,0.81,0.88,29.00,pallet,closed
FCL-1019,2019-08-01,agricultural_product,29.00,3.97,7.91,4.72,0.82,17.70,pallet,closed
FCL-1019,2019-09-01,agricultural_product,17.70,0.00,4.47,1.64,0.44,10.84,pallet,closed
FCL-1019,2019-11-01,agricultural_product,10.84,8.12,0.00,0.49,0.15,15.65,pallet,closed
FCL-1019,2020-04-01,agricultural_product,15.65,1.11,0.00,0.78,0.22,15.87,pallet,closed
FCL-1019,2020-06-01,agricultural_product,15.87,6.49,0.00,1.37,0.16,20.21,pallet,closed
FCL-1019,2021-03-01,agricultural_product,20.21,0.00,0.51,2.57,0.88,15.18,pallet,closed
FCL-1019,2021-05-01,agricultural_product,15.18,0.00,"17,00",0.00,0.76,0.00,pallet,closed
FCL-1019,2022-02-01,agricultural_product,0.00,34.00,3.16,0.59,0.31,30.68,pallet,closed
FCL-1019,2022-10-01,agricultural_product,30.68,6.10,30.00,3.85,1.52,0.71,pallet,closed
FCL-1019,2023-09-01,agricultural_product,0.71,0.00,8.22,0.00,0.24,0.00,pallet,closed
FCL-1019,2023-11-01,agricultural_product,0.00,11.25,0.00,0.49,0.31,9.72,pallet,closed
FCL-1019,2024-03-01,agricultural_product,9.72,1.59,0.00,0.49,0.21,9.67,pallet,closed
FCL-1019,2024-05-01,agricultural_product,9.67,0.00,6.27,1.55,0.04,2.28,pallet,closed
FCL-1019,2024-08-01,agricultural_product,2.28,0.00,0.00,0.30,0.19,4.59,pallet,closed
FCL-1019,2025-04-01,agricultural_product,4.59,4.08,0.00,0.43,0.18,8.12,pallet,closed
FCL-1019,2025-06-01,agricultural_product,8.12,0.00,0.00,0.94,0.22,9.05,pallet,closed
FCL-1020,2018-02-01,biological_sample,37.80,3.00,3.00,2.82,1.02,21.66,sealed_lot,revised
FCL-1020,2018-03-01,biological_sample,21.66,0.00,0.00,3.39,0.98,15.53,sealed_lot,closed
FCL-1020,2018-05-01,biological_sample,15.53,0.00,2.03,1.95,0.33,9.45,sealed_lot,closed
FCL-1020,2019-01-01,biological_sample,9.45,0.00,0.00,0.62,0.27,6.37,sealed_lot,closed
FCL-1020,2019-08-01,biological_sample,6.37,2.00,2.00,0.95,0.45,0.00,sealed_lot,revised
FCL-1020,2019-09-01,biological_sample,0.00,4.29,4.71,0.00,0.00,0.00,sealed_lot,closed
FCL-1020,2019-11-01,biological_sample,0.00,7.92,0.00,0.39,0.14,9.83,sealed_lot,closed
FCL-1020,2020-04-01,biological_sample,9.83,0.00,1.00,1.27,0.35,0.00,sealed_lot,closed
FCL-1020,2020-06-01,biological_sample,0.00,4.31,7.21,0.00,0.49,0.00,sealed_lot,closed
FCL-1020,2021-03-01,biological_sample,0.00,4.01,2.44,0.94,0.13,0.00,sealed_lot,closed
FCL-1020,2021-05-01,biological_sample,0.00,10.89,0.00,0.99,0.37,8.63,sealed_lot,closed
FCL-1020,2022-02-01,biological_sample,8.63,7.00,7.00,0.23,0.25,0.00,sealed_lot,closed
FCL-1020,2022-10-01,biological_sample,0.00,5.10,0.00,0.70,0.18,5.15,sealed_lot,closed
FCL-1020,2023-09-01,biological_sample,5.15,0.00,5.39,0.00,0.46,0.11,sealed_lot,provisional
FCL-1020,2023-11-01,biological_sample,0.11,0.00,1.75,0.00,0.47,0.00,sealed_lot,closed
FCL-1020,2024-03-01,biological_sample,0.00,8.36,0.00,0.38,0.09,11.37,sealed_lot,closed
FCL-1020,2024-05-01,biological_sample,11.37,10.66,8.03,1.12,0.36,13.54,sealed_lot,closed
FCL-1020,2024-08-01,biological_sample,13.54,3.00,3.00,0.76,0.42,0.00,sealed_lot,closed
FCL-1020,2025-04-01,biological_sample,0.00,11.38,7.37,0.97,0.41,0.00,sealed_lot,revised
FCL-1020,2025-06-01,biological_sample,0.00,3.56,0.00,0.42,0.07,4.54,sealed_lot,closed
FCL-1020,2018-02-01,medical_consumables,33.89,0.00,0.00,0.76,1.29,35.29,case,closed
FCL-1020,2018-03-01,medical_consumables,35.29,1.25,7.49,1.16,0.91,26.53,case,provisional
FCL-1020,2018-05-01,medical_consumables,26.53,4.57,0.00,0.77,1.08,28.42,case,closed
FCL-1020,2019-01-01,medical_consumables,28.42,8.86,0.00,1.34,0.11,38.86,case,closed
FCL-1020,2019-08-01,medical_consumables,38.86,7.41,0.00,5.19,1.79,37.62,case,closed
FCL-1020,2019-09-01,medical_consumables,37.62,0.00,3.99,0.68,1.26,34.40,case,provisional
FCL-1020,2019-11-01,medical_consumables,34.40,0.00,0.00,0.65,0.43,30.35,case,closed
FCL-1020,2020-04-01,medical_consumables,30.35,4.34,0.00,2.70,1.30,33.88,case,closed
FCL-1020,2020-06-01,medical_consumables,33.88,0.00,5.59,4.14,1.38,24.74,case,closed
FCL-1020,2021-03-01,medical_consumables,24.74,0.00,5.48,1.29,0.91,15.78,case,closed
FCL-1020,2021-05-01,medical_consumables,15.78,5.66,4.39,1.23,0.71,18.69,case,closed
FCL-1020,2022-02-01,medical_consumables,18.69,0.00,42.00,0.00,0.86,0.00,case,closed
FCL-1020,2022-10-01,medical_consumables,0.00,4.47,0.00,0.48,0.39,10.55,case,closed
FCL-1020,2023-09-01,medical_consumables,10.55,1.01,8.04,1.81,0.52,0.00,case,provisional
FCL-1020,2023-11-01,medical_consumables,0.00,7.70,0.00,0.12,0.20,6.33,case,closed
FCL-1020,2024-03-01,medical_consumables,6.33,0.00,0.47,0.02,0.19,4.42,case,closed
FCL-1020,2024-05-01,medical_consumables,4.42,10.67,0.00,0.62,0.20,16.38,case,PROVISIONAL
FCL-1020,2024-08-01,medical_consumables,16.38,8.97,0.00,2.11,0.80,22.25,case,closed
FCL-1020,2025-04-01,medical_consumables,22.25,0.00,0.40,1.99,0.86,18.25,case,closed
FCL-1020,2025-06-01,medical_consumables,18.25,0.00,1.95,2.05,0.09,18.97,case,closed
FCL-1020,2018-02-01,monitoring_equipment,34.99,0.00,7.48,1.55,1.22,25.44,kit,closed
FCL-1020,2018-03-01,monitoring_equipment,25.44,29.00,0.00,0.57,1.07,51.98,kit,closed
FCL-1020,2018-05-01,monitoring_equipment,51.98,0.00,0.00,6.29,2.55,43.46,kit,closed
FCL-1020,2019-01-01,monitoring_equipment,43.46,2.86,0.00,5.36,1.00,37.74,kit,closed
FCL-1020,2019-08-01,monitoring_equipment,37.74,5.04,0.00,6.42,1.07,36.16,kit,closed
FCL-1020,2019-09-01,monitoring_equipment,36.16,10.90,0.00,1.89,0.48,44.96,kit,closed
FCL-1020,2019-11-01,monitoring_equipment,44.96,4.74,0.00,0.34,0.56,49.63,kit,closed
FCL-1020,2020-04-01,monitoring_equipment,49.63,9.23,0.00,7.52,1.19,41.76,kit,revised
FCL-1020,2020-06-01,monitoring_equipment,41.76,1.57,0.00,6.20,0.02,37.18,kit,closed
FCL-1020,2021-03-01,monitoring_equipment,37.18,0.00,2.30,3.72,1.11,21.04,kit,revised
FCL-1020,2021-05-01,monitoring_equipment,21.04,0.00,0.00,1.09,1.00,18.95,kit,closed
FCL-1020,2022-02-01,monitoring_equipment,18.95,0.00,0.00,2.76,0.08,14.52,kit,closed
FCL-1020,2022-10-01,monitoring_equipment,14.52,6.93,2.10,1.92,0.58,18.73,kit,closed
FCL-1020,2023-09-01,monitoring_equipment,18.73,4.17,25.00,0.00,0.38,0.00,kit,closed
FCL-1020,2023-11-01,monitoring_equipment,0.00,10.12,1.54,0.11,0.32,8.60,kit,closed
FCL-1020,2024-03-01,monitoring_equipment,8.60,2.72,0.00,0.12,0.40,9.30,kit,closed
FCL-1020,2024-05-01,monitoring_equipment,9.30,0.00,0.00,0.15,0.00,9.43,kit,closed
FCL-1020,2024-08-01,monitoring_equipment,9.43,16.00,0.00,1.02,0.41,24.00,kit,provisional
FCL-1020,2025-04-01,monitoring_equipment,24.00,3.21,7.59,2.47,0.56,20.63,kit,closed
FCL-1020,2025-06-01,monitoring_equipment,20.63,6.11,0.00,0.18,0.55,28.66,kit,closed
FCL-1020,2018-02-01,protective_equipment,44.57,0.00,0.00,5.36,0.37,37.79,case,closed
FCL-1020,2018-03-01,protective_equipment,37.79,0.00,2.94,4.48,0.75,29.69,case,closed
FCL-1020,2018-05-01,protective_equipment,29.69,0.00,2.79,4.03,0.38,22.49,case,closed
FCL-1020,2019-01-01,protective_equipment,22.49,2.61,0.00,1.94,0.86,21.38,case,closed
FCL-1020,2019-08-01,protective_equipment,21.38,127.00,4.46,1.56,0.82,141.61,case,closed
FCL-1020,2019-09-01,protective_equipment,141.61,0.00,8.26,11.16,5.04,115.61,case,closed
