shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status
SHP-2016-00002,1,2016-02-10T09:00:00,2016-02-11T22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,46,case,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2016-00003,1,2016-02-15T05:00:00,2016-02-17T03:00:00,BP-30044,BP-30031,FCL-1029,FCL-1023,BP-30055,refrigeration_service,1,service,ambient,expedited,field programme support,delivered
SHP-2016-00004,1,2016-04-25T15:00:00,2016-04-29T10:00:00,BP-30007,BP-30044,FCL-1014,FCL-1029,BP-30031,research_contract,1,contract,ambient,expedited,agricultural distribution,delivered
SHP-2016-00005,1,2016-05-26T13:00:00,2016-05-30T08:00:00,BP-30040,BP-30028,FCL-1015,FCL-1020,BP-30042,agricultural_equipment,21,unit,ambient,ordinary,field programme support,delivered
SHP-2016-00006,1,2016-06-08T09:00:00,2016-06-11T11:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,20,case,2-8C,expedited,temperature-controlled clinical programme delivery,delivered
SHP-2016-00007,1,2016-07-21T09:00:00,2016-07-22T22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,8,sealed_lot,2-8C,expedited,temperature-controlled clinical programme delivery,delivered
SHP-2016-00008,1,2016-07-26T14:00:00,2016-07-28T02:00:00,BP-30080,BP-30072,FCL-1020,FCL-1024,BP-30060,consulting_service,1,service,ambient,emergency,customer distribution,delivered
SHP-2016-00009,1,2016-09-05T13:00:00,2016-09-08T02:00:00,BP-30043,BP-30036,FCL-1010,FCL-1030,BP-30020,consulting_service,1,service,ambient,emergency,scheduled stock transfer,delivered
SHP-2016-00010,1,2016-09-12T17:00:00,2016-09-15T05:00:00,BP-30052,BP-30078,FCL-1011,FCL-1011,BP-30020,medical_consumables,83,case,2-8C,restricted,scheduled stock transfer,returned
SHP-2016-00011,1,2016-10-07T05:00:00,2016-10-08T13:00:00,BP-30065,BP-30043,FCL-1014,FCL-1010,BP-30047,laboratory_material,37,pack,ambient,restricted,scheduled stock transfer,delivered
SHP-2016-00012,1,2016-10-18T12:00:00,2016-10-19T02:00:00,BP-30015,BP-30021,FCL-1006,FCL-1007,BP-30060,agricultural_equipment,10,unit,ambient,ordinary,facility replenishment,delivered
SHP-2016-00013,1,2016-10-27T11:00:00,2016-10-30T02:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,medical_consumables,82,case,2-8C,ordinary,customer distribution,delivered
SHP-2016-00014,1,2016-11-03T16:00:00,2016-11-07T00:00:00,BP-30051,BP-30064,FCL-1005,FCL-1010,BP-30047,monitoring_equipment,29,kit,ambient,ordinary,laboratory delivery,delayed
SHP-2016-00015,1,2016-11-10T16:00:00,2016-11-11T17:00:00,BP-30018,BP-30016,FCL-1003,FCL-1030,BP-30020,consulting_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
SHP-2016-00016,1,2016-11-15T15:00:00,2016-11-18T15:00:00,BP-30010,BP-30078,FCL-1016,FCL-1011,BP-30055,cold_storage_equipment,17,unit,ambient,ordinary,customer distribution,delivered
SHP-2016-00017,1,2016-12-20T08:00:00,2016-12-20T22:00:00,BP-30023,BP-30050,FCL-1002,FCL-1028,BP-30025,biological_sample,17,sealed_lot,2-8C,emergency,facility replenishment,delivered
SHP-2017-00001,1,2017-01-18T07:00:00,2017-01-19T04:00:00,BP-30015,BP-30061,FCL-1006,FCL-1030,BP-30060,medical_consumables,69,case,2-8C,ordinary,scheduled stock transfer,delivered
SHP-2017-00002,1,2017-01-19T09:00:00,2017-01-22T07:00:00,BP-30063,BP-30046,FCL-1025,FCL-1010,BP-30020,cold_storage_equipment,2,unit,ambient,restricted,customer distribution,delivered
SHP-2017-00003,1,2017-03-15T14:00:00,2017-03-18T11:00:00,BP-30029,BP-30020,FCL-1004,FCL-1001,BP-30020,medical_equipment,8,unit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2017-00004,1,2017-03-22T11:00:00,2017-03-24T06:00:00,BP-30036,BP-30019,FCL-1030,FCL-1010,BP-30055,cold_storage_equipment,17,unit,ambient,ordinary,facility replenishment,delivered
SHP-2017-00005,1,2017-03-31T09:00:00,,BP-30009,BP-30070,FCL-1010,FCL-1019,BP-30025,transport_service,1,service,ambient,ordinary,customer distribution,in_transit
SHP-2017-00006,1,2017-05-04T09:00:00,2017-05-06T05:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,3,sealed_lot,2-8C,restricted,temperature-controlled clinical programme delivery,delivered
SHP-2017-00007,1,2017-05-23T17:00:00,2017-05-24T05:00:00,BP-30067,BP-30045,FCL-1023,FCL-1016,BP-30047,medical_consumables,84,case,2-8C,ordinary,field programme support,delivered
SHP-2017-00008,1,2017-05-30T07:00:00,2017-05-31T04:00:00,BP-30021,BP-30023,FCL-1007,FCL-1002,BP-30047,refrigeration_service,1,service,ambient,ordinary,customer distribution,delivered
SHP-2017-00009,1,2017-07-22T13:00:00,2017-07-26T06:00:00,BP-30078,BP-30053,FCL-1011,FCL-1030,BP-30078,cold_storage_equipment,2,unit,ambient,ordinary,laboratory delivery,delivered
SHP-2017-00010,1,2017-07-22T18:00:00,2017-07-23T16:00:00,BP-30061,BP-30019,FCL-1030,FCL-1010,BP-30055,monitoring_equipment,24,kit,ambient,ordinary,laboratory delivery,delayed
SHP-2017-00011,1,2017-07-28T07:00:00,2017-07-28T19:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,cold_storage_equipment,2,unit,ambient,ordinary,facility replenishment,delivered
SHP-2017-00012,1,2017-08-17T06:00:00,2017-08-21T05:00:00,BP-30008,BP-30071,FCL-1007,FCL-1011,BP-30042,medical_consumables,25,case,2-8C,ordinary,agricultural distribution,delivered
SHP-2017-00013,1,2017-08-23T08:00:00,2017-08-25T22:00:00,BP-30070,BP-30048,FCL-1019,FCL-1011,BP-30060,laboratory_material,58,pack,ambient,ordinary,field programme support,delivered
SHP-2017-00014,1,2017-08-30T10:00:00,2017-09-02T12:00:00,BP-30010,BP-30014,FCL-1016,FCL-1029,BP-30060,transport_service,1,service,ambient,ordinary,field programme support,delivered
SHP-2017-00015,1,2017-09-13T09:00:00,2017-09-15T23:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,3,sealed_lot,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2017-00016,1,2017-09-29T06:00:00,2017-10-03T03:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30025,agricultural_product,22,pallet,ambient,expedited,laboratory delivery,delivered
SHP-2017-00017,1,2017-10-26T09:00:00,2017-10-26T15:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,7,sealed_lot,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2017-00018,1,2017-11-19T11:00:00,2017-11-20T17:00:00,BP-30014,BP-30017,FCL-1029,FCL-1010,BP-30031,agricultural_equipment,9,unit,ambient,expedited,agricultural distribution,delivered
SHP-2017-00019,1,2017-12-30T07:00:00,2017-12-31T02:00:00,BP-30030,BP-30016,FCL-1018,FCL-1030,BP-30047,transport_service,1,service,ambient,ordinary,laboratory delivery,delivered
SHP-2018-00001,1,2018-01-18T09:00:00,2018-01-19T22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,37,case,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2018-00002,1,2018-02-07T06:00:00,2018-02-10T07:00:00,BP-30045,BP-30024,FCL-1016,FCL-1016,BP-30015,agricultural_equipment,7,unit,ambient,restricted,laboratory delivery,delivered
SHP-2018-00003,1,2018-02-14T09:00:00,16/02/2018 12:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,2,sealed_lot,2-8C,restricted,temperature-controlled clinical programme delivery,delivered
SHP-2018-00004,1,2018-02-16T09:00:00,2018-02-17T04:00:00,BP-30056,BP-30078,FCL-1020,FCL-1020,BP-30047,biological_sample,3,sealed_lot,2-8C,restricted,environmental and wildlife reference materials,delivered
SHP-2018-00005,1,2018-03-19T14:00:00,2018-03-22T00:00:00,BP-30004,BP-30045,FCL-1029,FCL-1016,BP-30015,grant,1,grant,ambient,expedited,scheduled stock transfer,delayed
SHP-2018-00006,1,2018-03-21T05:00:00,2018-03-24T09:00:00,BP-30069,BP-30078,FCL-1008,FCL-1011,BP-30025,medical_equipment,9,unit,ambient,ordinary,laboratory delivery,delivered
SHP-2018-00007,1,2018-03-23T09:00:00,2018-03-25T08:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,5,sealed_lot,2-8C,expedited,environmental and wildlife reference materials,delivered
SHP-2018-00008,1,2018-04-03T05:00:00,2018-04-05T15:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,monitoring_equipment,4,kit,ambient,ordinary,scheduled stock transfer,delayed
SHP-2018-00009,1,2018-04-05T07:00:00,2018-04-08T20:00:00,BP-30049,BP-30070,FCL-1002,FCL-1019,BP-30015,medical_consumables,64,case,2-8C,restricted,facility replenishment,delivered
SHP-2018-00010,1,2018-04-05T10:00:00,2018-04-06T19:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30047,other,4,unit,ambient,ordinary,laboratory delivery,delivered
SHP-2018-00011,1,2018-04-05T13:00:00,2018-04-06T16:00:00,BP-30023,BP-30066,FCL-1002,FCL-1003,BP-30060,laboratory_material,54,pack,ambient,ordinary,agricultural distribution,delivered
SHP-2018-00012,1,2018-04-07T07:00:00,2018-04-10T10:00:00,BP-30020,BP-30056,FCL-1001,FCL-1019,BP-30042,transport_service,1,service,ambient,emergency,agricultural distribution,delivered
SHP-2018-00013,1,2018-04-07T14:00:00,2018-04-08T16:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30015,agricultural_product,25,pallet,ambient,ordinary,facility replenishment,delivered
SHP-2018-00014,1,2018-04-08T18:00:00,2018-04-12T03:00:00,BP-30066,BP-30078,FCL-1003,FCL-1011,BP-30015,refrigeration_service,1,service,ambient,expedited,laboratory delivery,delivered
SHP-2018-00015,1,2018-04-09T08:00:00,2018-04-12T21:00:00,BP-30079,BP-30040,FCL-1022,FCL-1015,BP-30015,monitoring_equipment,7,kit,ambient,restricted,agricultural distribution,delayed
SHP-2018-00016,1,2018-04-10T05:00:00,2018-04-13T22:00:00,BP-30051,BP-30007,FCL-1005,FCL-1014,BP-30055,office_supply,43,case,ambient,expedited,facility replenishment,returned
SHP-2018-00017,1,2018-04-10T12:00:00,,BP-30031,BP-30060,FCL-1023,FCL-1009,BP-30015,protective_equipment,58,case,ambient,expedited,facility replenishment,in_transit
SHP-2018-00018,1,2018-04-10T18:00:00,2018-04-11T01:00:00,BP-30046,BP-30010,FCL-1010,FCL-1016,BP-30025,laboratory_material,50,pack,ambient,expedited,customer distribution,delivered
SHP-2018-00019,1,2018-04-11T14:00:00,2018-04-14T13:00:00,BP-30014,BP-30040,FCL-1029,FCL-1015,BP-30031,agricultural_product,49,pallet,ambient,restricted,facility replenishment,delivered
SHP-2018-00020,1,2018-04-12T10:00:00,2018-04-13T00:00:00,BP-30037,BP-30029,FCL-1017,FCL-1004,BP-30042,laboratory_material,32,pack,ambient,restricted,customer distribution,delivered
SHP-2018-00021,1,2018-04-12T11:00:00,2018-04-14T18:00:00,BP-30009,BP-30076,FCL-1010,FCL-1020,BP-30025,cold_storage_equipment,12,unit,ambient,expedited,scheduled stock transfer,delivered
SHP-2018-00022,1,2018-04-12T15:00:00,2018-04-15T18:00:00,BP-30078,BP-30050,FCL-1011,FCL-1028,BP-30042,monitoring_equipment,20,kit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2018-00023,1,2018-04-13T17:00:00,2018-04-15T12:00:00,BP-30018,BP-30035,FCL-1003,FCL-1009,BP-30047,agricultural_product,28,pallet,ambient,restricted,field programme support,delayed
SHP-2018-00024,1,2018-04-17T14:00:00,2018-04-18T07:00:00,BP-30008,BP-30004,FCL-1007,FCL-1029,BP-30020,agricultural_equipment,18,unit,ambient,ordinary,field programme support,delivered
SHP-2018-00025,1,2018-04-20T18:00:00,2018-04-24T02:00:00,BP-30078,BP-30012,FCL-1011,FCL-1020,BP-30042,communication_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
SHP-2018-00026,1,2018-04-21T05:00:00,2018-04-22T02:00:00,BP-30004,BP-30007,FCL-1029,FCL-1014,BP-30020,consulting_service,1,service,ambient,ordinary,facility replenishment,delivered
SHP-2018-00027,1,2018-04-21T10:00:00,2018-04-24T03:00:00,BP-30008,BP-30009,FCL-1007,FCL-1010,BP-30078,monitoring_equipment,24,kit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2018-00028,1,2018-04-22T13:00:00,2018-04-25T04:00:00,BP-30053,BP-30076,FCL-1030,FCL-1020,BP-30020,transport_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
SHP-2018-00029,1,2018-04-23T11:00:00,,BP-30046,BP-30078,FCL-1010,FCL-1011,BP-30078,protective_equipment,69,case,ambient,ordinary,scheduled stock transfer,in_transit
SHP-2018-00030,1,2018-04-23T12:00:00,2018-04-26T01:00:00,BP-30074,BP-30020,FCL-1015,FCL-1001,BP-30055,other,19,unit,ambient,ordinary,customer distribution,Delivered
SHP-2018-00031,1,2018-04-26T07:00:00,2018-04-27T12:00:00,BP-30054,BP-30014,FCL-1007,FCL-1029,BP-30055,monitoring_equipment,25,kit,ambient,ordinary,laboratory delivery,delayed
SHP-2018-00032,1,2018-05-25T09:00:00,2018-05-29T01:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,3,sealed_lot,2-8C,restricted,environmental and wildlife reference materials,delivered
SHP-2018-00033,1,2018-06-11T16:00:00,2018-06-15T02:00:00,BP-30004,BP-30046,FCL-1029,FCL-1010,BP-30015,protective_equipment,24,case,ambient,ordinary,scheduled stock transfer,delivered
SHP-2018-00034,1,2018-06-13T09:00:00,2018-06-17T05:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,79,case,2-8C,restricted,temperature-controlled clinical programme delivery,delivered
SHP-2018-00035,1,2018-07-16T17:00:00,2018-07-20T07:00:00,BP-30077,BP-30042,FCL-1007,FCL-1015,BP-30055,protective_equipment,33,case,ambient,emergency,facility replenishment,delivered
SHP-2018-00036,1,2018-07-22T12:00:00,2018-07-24T23:00:00,BP-30076,BP-30017,FCL-1020,FCL-1010,BP-30055,office_supply,22,case,ambient,ordinary,scheduled stock transfer,delivered
SHP-2018-00037,1,2018-08-12T08:00:00,2018-08-15T21:00:00,BP-30040,BP-30035,FCL-1015,FCL-1009,BP-30055,agricultural_product,38,pallet,ambient,restricted,field programme support,delivered
SHP-2018-00038,1,2018-08-23T10:00:00,2018-08-24T21:00:00,BP-30010,BP-30057,FCL-1016,FCL-1016,BP-30047,cold_storage_equipment,2,unit,ambient,expedited,laboratory delivery,delivered
SHP-2018-00039,1,2018-08-30T08:00:00,2018-08-31T17:00:00,BP-30078,BP-30018,FCL-1011,FCL-1003,BP-30078,consulting_service,1,service,ambient,ordinary,  laboratory  delivery ,delivered
SHP-2018-00040,1,2018-09-08T17:00:00,2018-09-11T10:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30015,office_supply,62,case,ambient,ordinary,laboratory delivery,delivered
SHP-2018-00041,1,2018-09-21T06:00:00,2018-09-21T20:00:00,BP-30073,BP-30055,FCL-1019,FCL-1010,BP-30042,office_supply,83,case,ambient,expedited,facility replenishment,delivered
SHP-2018-00042,1,2018-09-29T15:00:00,2018-10-01T18:00:00,BP-30032,BP-30065,FCL-1019,FCL-1014,BP-30025,protective_equipment,51,case,ambient,ordinary,laboratory delivery,delivered
SHP-2018-00043,1,2018-10-19T15:00:00,,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,cold_storage_equipment,9,unit,ambient,ordinary,laboratory delivery,in_transit
SHP-2018-00044,1,2018-11-03T17:00:00,2018-11-04T10:00:00,BP-30052,BP-30008,FCL-1011,FCL-1007,BP-30020,agricultural_product,26,pallet,ambient,restricted,laboratory delivery,delivered
SHP-2018-00045,1,2018-11-13T11:00:00,2018-11-14T20:00:00,BP-30049,BP-30047,FCL-1002,FCL-1016,BP-30078,agricultural_equipment,3,unit,ambient,ordinary,customer distribution,delivered
SHP-2018-00046,1,2018-12-16T16:00:00,2018-12-17T02:00:00,BP-30029,BP-30035,FCL-1004,FCL-1009,BP-30078,biological_sample,8,sealed_lot,2-8C,ordinary,field programme support,delivered
SHP-2018-00047,1,2018-12-29T11:00:00,2018-12-30T19:00:00,BP-30078,BP-30071,FCL-1011,FCL-1011,BP-30055,agricultural_product,13,pallet,frozen,expedited,customer distribution,delivered
SHP-2019-00001,1,2019-01-12T13:00:00,2019-01-16T01:00:00,BP-30070,BP-30035,FCL-1019,FCL-1009,BP-30020,agricultural_equipment,19,unit,ambient,expedited,facility replenishment,delayed
SHP-2019-00002,1,2019-02-05T11:00:00,2019-02-06T00:00:00,BP-30001,BP-30044,FCL-1025,FCL-1029,BP-30025,consulting_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
SHP-2019-00003,1,2019-03-06T09:00:00,2019-03-06T22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,60,case,2-8C,restricted,temperature-controlled clinical programme delivery,delivered
SHP-2019-00004,1,2019-04-18T14:00:00,,BP-30014,BP-30006,FCL-1029,FCL-1019,BP-30078,office_supply,63,case,ambient,ordinary,laboratory delivery,in_transit
SHP-2019-00005,1,2019-04-19T09:00:00,,BP-30004,BP-30006,FCL-1029,FCL-1019,BP-30055,consulting_service,1,service,ambient,ordinary,laboratory delivery,in_transit
SHP-2019-00006,1,2019-05-09T09:00:00,2019-05-10T15:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,8,sealed_lot,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2019-00007,1,2019-07-04T09:00:00,2019-07-06T18:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30047,laboratory_material,4,pack,ambient,ordinary,facility replenishment,delivered
SHP-2019-00008,1,2019-07-08T15:00:00,2019-07-08T21:00:00,BP-30065,BP-30040,FCL-1014,FCL-1015,BP-30078,agricultural_product,15,pallet,ambient,restricted,facility replenishment,delivered
SHP-2019-00009,1,2019-08-09T09:00:00,11-Aug-2019 18:00:00,BP-30056,BP-30078,FCL-1020,FCL-1020,BP-30047,biological_sample,2,sealed_lot,2-8C,expedited,environmental and wildlife reference materials,delivered
SHP-2019-00010,1,2019-08-19T07:00:00,2019-08-19T23:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30031,laboratory_material,39,pack,ambient,ordinary,agricultural distribution,delayed
SHP-2019-00011,1,2019-08-26T11:00:00,2019-08-29T06:00:00,BP-30078,BP-30076,FCL-1011,FCL-1020,BP-30055,protective_equipment,49,case,ambient,expedited,field programme support,delivered
SHP-2019-00012,1,2019-08-31T13:00:00,2019-09-03T16:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,medical_consumables,54,case,2-8C,ordinary,scheduled stock transfer,delivered
SHP-2019-00013,1,2019-09-02T08:00:00,2019-09-06T03:00:00,BP-30066,BP-30016,FCL-1003,FCL-1030,BP-30025,medical_consumables,44,case,2-8C,ordinary,facility replenishment,delivered
SHP-2019-00014,1,2019-09-02T09:00:00,2019-09-02T17:00:00,BP-30044,BP-30002,FCL-1029,FCL-1030,BP-30078,office_supply,42,case,ambient,ordinary,laboratory delivery,delivered
SHP-2019-00015,1,2019-09-02T11:00:00,2019-09-05T05:00:00,BP-30015,BP-30035,FCL-1006,FCL-1009,BP-30025,cold_storage_equipment,24,unit,ambient,ordinary,field programme support,delivered
SHP-2019-00016,1,2019-09-02T14:00:00,2019-09-04T22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,agricultural_product,15,pallet,frozen,ordinary,facility replenishment,returned
SHP-2019-00017,1,2019-09-04T15:00:00,2019-09-08T09:00:00,BP-30035,BP-30042,FCL-1009,FCL-1015,BP-30020,biological_sample,4,sealed_lot,2-8C,ordinary,field programme support,delivered
SHP-2019-00018,1,2019-09-06T09:00:00,2019-09-06T16:00:00,BP-30019,BP-30015,FCL-1010,FCL-1006,BP-30025,monitoring_equipment,17,kit,ambient,ordinary,facility replenishment,delivered
SHP-2019-00019,1,2019-09-07T05:00:00,2019-09-11T03:00:00,BP-30053,BP-30046,FCL-1030,FCL-1010,BP-30047,medical_consumables,90,case,2-8C,ordinary,agricultural distribution,delivered
SHP-2019-00020,1,2019-09-07T09:00:00,2019-09-09T07:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30020,cold_storage_equipment,3,unit,ambient,ordinary,field programme support,delivered
SHP-2019-00021,1,2019-09-11T18:00:00,2019-09-15T09:00:00,BP-30017,BP-30055,FCL-1010,FCL-1010,BP-30055,research_contract,1,contract,ambient,ordinary,customer distribution,delivered
SHP-2019-00022,1,2019-09-12T14:00:00,2019-09-15T20:00:00,BP-30064,BP-30041,FCL-1010,FCL-1008,BP-30042,other,23,unit,ambient,expedited,field programme support,delivered
SHP-2019-00023,1,2019-09-12T18:00:00,2019-09-13T06:00:00,BP-30060,BP-30008,FCL-1009,FCL-1007,BP-30020,research_contract,1,contract,ambient,restricted,agricultural distribution,delivered
SHP-2019-00024,1,2019-09-13T07:00:00,2019-09-17T03:00:00,BP-30023,BP-30036,FCL-1002,FCL-1030,BP-30060,office_supply,39,case,ambient,ordinary,facility replenishment,delivered
SHP-2019-00025,1,2019-09-13T08:00:00,2019-09-15T00:00:00,BP-30004,BP-30078,FCL-1029,FCL-1011,BP-30025,agricultural_product,24,pallet,ambient,ordinary,laboratory delivery,delivered
SHP-2019-00026,1,2019-09-13T09:00:00,2019-09-15T09:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,4,sealed_lot,2-8C,expedited,environmental and wildlife reference materials,delivered
SHP-2019-00027,1,2019-09-13T11:00:00,2019-09-16T05:00:00,BP-30078,BP-30049,FCL-1011,FCL-1002,BP-30060,medical_consumables,85,case,2-8C,ordinary,scheduled stock transfer,returned
SHP-2019-00028,1,2019-09-14T16:00:00,2019-09-16T05:00:00,BP-30028,BP-30057,FCL-1020,FCL-1016,BP-30025,laboratory_material,39,pack,ambient,expedited,field programme support,delivered
SHP-2019-00029,1,2019-09-15T07:00:00,2019-09-18T23:00:00,BP-30025,BP-30051,FCL-1026,FCL-1005,BP-30031,consulting_service,1,service,ambient,ordinary,laboratory delivery,delivered
SHP-2019-00030,1,2019-09-16T09:00:00,2019-09-19T21:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30078,consulting_service,1,service,ambient,restricted,facility replenishment,delivered
SHP-2019-00031,1,2019-09-16T13:00:00,2019-09-18T23:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30055,agricultural_product,24,pallet,ambient,ordinary,agricultural distribution,delivered
SHP-2019-00032,1,2019-09-16T18:00:00,2019-09-19T15:00:00,BP-30015,BP-30078,FCL-1006,FCL-1011,BP-30025,refrigeration_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
