receipt_number,purchase_order_number,purchase_order_line,receipt_date,receiving_facility_code,supplier_partner_code,received_quantity,received_unit,batch_reference,inspection_status,storage_location_code,receipt_status
RCV-2020-00187,PO-2020-00003,1,2020-02-01,FCL-1010,BP-30078,5.71,case,B-2020-72234,conditional,BIN-22,posted
RCV-2020-00188,PO-2020-00004,1,2020-02-01,FCL-1021,BP-30014,21,pallet,B-2020-51403,accepted,BIN-37,posted
RCV-2020-00189,PO-2020-00005,1,2020-01-27,FCL-1011,BP-30056,15,unit,B-2020-90409,accepted,BIN-34,posted
RCV-2020-00190,PO-2020-00006,1,2020-02-05,FCL-1007,BP-30078,19,kit,B-2020-93671,conditional,BIN-42,posted
RCV-2020-00191,PO-2020-00007,1,2020-03-08,FCL-1010,BP-30078,36,case,B-2020-41118,accepted,BIN-09,posted
RCV-2020-00192,PO-2020-00008,1,2020-03-16,FCL-1030,BP-30052,24.65,pallet,B-2020-02288,accepted,BIN-31,posted
RCV-2020-00193,PO-2020-00009,1,2020-04-16,FCL-1006,BP-30038,21,pallet,B-2020-03996,accepted,BIN-14,posted
RCV-2020-00194,PO-2020-00010,1,2020-04-16,FCL-1011,BP-30028,24,unit,B-2020-54123,accepted,BIN-02,posted
RCV-2020-00195,PO-2020-00011,1,2020-04-05,FCL-1010,BP-30001,1,service,B-2020-04125,accepted,BIN-30,posted
RCV-2020-00196,PO-2020-00012,1,2020-04-06,FCL-1030,BP-30078,15,unit,B-2020-48649,accepted,BIN-23,posted
RCV-2020-00197,PO-2020-00013,1,2020-05-16,FCL-1021,BP-30012,64,case,B-2020-91503,accepted,BIN-14,posted
RCV-2020-00198,PO-2020-00014,1,2020-05-05,FCL-1020,BP-30014,5,case,B-2020-11590,conditional,BIN-07,posted
RCV-2020-00199,PO-2020-00015,1,2020-04-28,FCL-1029,BP-30068,15,unit,B-2020-25425,accepted,BIN-12,posted
RCV-2020-00200,PO-2020-00016,1,2020-05-05,FCL-1030,BP-30029,77,case,B-2020-26487,accepted,BIN-30,posted
RCV-2020-00201,PO-2020-00017,1,2020-05-06,FCL-1025,BP-30046,1,service,B-2020-67230,accepted,BIN-25,posted
RCV-2020-00202,PO-2020-00018,1,2020-05-05,FCL-1020,BP-30032,1,grant,B-2020-38898,accepted,BIN-16,posted
RCV-2020-00203,PO-2020-00019,1,2020-05-13,FCL-1015,BP-30011,4,kit,B-2020-35223,conditional,BIN-29,posted
RCV-2020-00204,PO-2020-00020,1,2020-04-23,FCL-1007,BP-30040,1,service,B-2020-80062,accepted,BIN-30,posted
RCV-2020-00205,PO-2020-00021,1,2020-05-02,FCL-1011,BP-30059,2,unit,B-2020-44945,accepted,BIN-40,posted
