adjustment_number,facility_code,adjustment_date,item_category,adjustment_quantity,unit,adjustment_reason,approved_by_role,related_receipt_number,related_shipment_number,adjustment_status
ADJ-2020-00054,FCL-1010,2020-02-07,medical_consumables,-2.57,case,procedure stock issue,specialist programme administrator,,,posted
ADJ-2020-00055,FCL-1028,2020-02-18,protective_equipment,-5.8,case,unit-of-measure review,warehouse manager,,,pending_review
ADJ-2020-00056,FCL-1010,2020-03-05,medical_consumables,-1.55,case,procedure stock issue,specialist programme administrator,,,posted
ADJ-2020-00057,FCL-1023,2020-04-04,protective_equipment,-2.9,case,quality-hold release,inventory supervisor,RCV-2022-00377,,posted
ADJ-2020-00058,FCL-1029,2020-04-20,biological_sample,-2.02,sealed_lot,unit-of-measure review,warehouse manager,,,posted
ADJ-2020-00059,FCL-1005,2020-04-20,biological_sample,-5.6,sealed_lot,damaged packaging write-off,warehouse manager,,,pending_review
ADJ-2020-00060,FCL-1019,2020-04-28,biological_sample,4.84,sealed_lot,cycle count correction,finance controller,,,approved
ADJ-2020-00061,FCL-1024,2020-04-30,biological_sample,-3.84,sealed_lot,cycle count reconciliation,regional operations manager,,SHP-2020-00019,posted
ADJ-2020-00062,FCL-1008,2020-06-19,biological_sample,7.45,sealed_lot,cycle count correction,quality manager,RCV-2020-00220,,pending_review
ADJ-2020-00063,FCL-1008,2020-06-22,agricultural_product,-3.08,pallet,quality-hold release,inventory supervisor,RCV-2018-00082,,posted
ADJ-2020-00064,FCL-1010,2020-06-24,agricultural_product,1.95,pallet,late receipt posting,warehouse manager,RCV-2023-00475,,posted
ADJ-2020-00065,FCL-1019,2020-06-30,biological_sample,-3.59,sealed_lot,cycle count reconciliation,regional operations manager,,SHP-2020-00038,posted
ADJ-2020-00066,FCL-1010,2020-07-02,medical_consumables,-2.26,case,specialist programme issue,clinical stores manager,,,posted
ADJ-2021-00067,FCL-1024,2021-03-11,monitoring_equipment,7.32,kit,quality-hold release,warehouse manager,,,posted
ADJ-2021-00068,FCL-1017,2021-03-20,medical_consumables,-5.44,case,unit-of-measure review,warehouse manager,,,posted
ADJ-2021-00069,FCL-1023,2021-03-24,medical_consumables,-2.32,case,quality-hold release,quality manager,,,approved
ADJ-2021-00070,FCL-1007,2021-03-25,medical_consumables,-1.5,case,controlled-area consumption,specialist programme administrator,,,posted
ADJ-2021-00071,FCL-1024,2021-03-31,biological_sample,-3.39,sealed_lot,cycle count reconciliation,inventory supervisor,,SHP-2021-00007,posted
ADJ-2021-00072,FCL-1022,2021-05-01,medical_consumables,-1.31,case,cycle count correction,quality manager,,,posted
ADJ-2021-00073,FCL-1020,2021-05-02,biological_sample,-3.11,sealed_lot,transfer posting correction,finance controller,,,pending_review
ADJ-2021-00074,FCL-1005,2021-05-04,biological_sample,-7.12,sealed_lot,unit-of-measure review,inventory supervisor,,SHP-2023-00045,posted
ADJ-2021-00075,FCL-1009,2021-05-14,protective_equipment,1.85,case,quality-hold release,finance controller,,SHP-2023-00050,pending_review
ADJ-2021-00076,FCL-1029,2021-05-15,monitoring_equipment,-5.1,kit,unit-of-measure review,finance controller,,SHP-2024-00019,pending_review
ADJ-2021-00077,FCL-1010,2021-05-28,agricultural_product,7.24,pallet,unit-of-measure review,inventory supervisor,,SHP-2022-00021,approved
ADJ-2021-00078,FCL-1019,2021-05-31,biological_sample,-1.25,sealed_lot,quality-hold release,inventory supervisor,,SHP-2021-00028,posted
ADJ-2021-00079,FCL-1007,2021-06-04,medical_consumables,-3.0,case,procedure stock issue,clinical stores manager,,,posted
ADJ-2021-00080,FCL-1007,2021-10-14,medical_consumables,-2.46,case,specialist programme issue,clinical stores manager,,,posted
ADJ-2021-00081,FCL-1026,2021-11-22,protective_equipment,6.02,case,unit-of-measure review,inventory supervisor,RCV-2019-00125,,pending_review
ADJ-2022-00082,FCL-1010,2022-01-28,medical_consumables,-2.88,case,controlled-area consumption,specialist programme administrator,,,posted
ADJ-2022-00083,FCL-1008,2022-02-05,monitoring_equipment,7.74,kit,transfer posting correction,inventory supervisor,,,posted
ADJ-2022-00084,FCL-1023,2022-02-11,monitoring_equipment,0.86,kit,transfer posting correction,warehouse manager,,,pending_review
ADJ-2022-00085,FCL-1028,2022-02-12,protective_equipment,3.96,case,late receipt posting,finance controller,,,pending_review
ADJ-2022-00086,FCL-1027,2022-02-13,medical_consumables,1.07,case,quality-hold release,inventory supervisor,,,posted
ADJ-2022-00087,FCL-1028,2022-02-14,agricultural_product,-2.17,pallet,cycle count correction,warehouse manager,,,posted
ADJ-2022-00088,FCL-1010,2022-02-17,medical_consumables,-2.36,case,specialist programme issue,specialist programme administrator,,,posted
ADJ-2022-00089,FCL-1022,2022-02-25,biological_sample,-6.79,sealed_lot,quality-hold release,inventory supervisor,,,posted
ADJ-2022-00090,FCL-1020,2022-02-28,biological_sample,-2.14,sealed_lot,transfer posting correction,inventory supervisor,,SHP-2022-00018,posted
ADJ-2022-00091,FCL-1010,2022-04-15,medical_consumables,-1.27,case,controlled-area consumption,clinical stores manager,,,posted
ADJ-2022-00092,FCL-1012,2022-10-08,protective_equipment,2.37,case,cycle count correction,finance controller,RCV-2024-00506,,posted
ADJ-2022-00093,FCL-1020,2022-10-10,medical_consumables,7.41,case,late receipt posting,quality manager,,,posted
ADJ-2022-00094,FCL-1014,2022-10-11,medical_consumables,1.6,case,cycle count correction,quality manager,RCV-2020-00206,,posted
ADJ-2022-00095,FCL-1028,2022-10-13,protective_equipment,1.0,case,quality-hold release,finance controller,RCV-2022-00333,,posted
ADJ-2022-00096,FCL-1008,2022-10-14,protective_equipment,6.99,case,transfer posting correction,quality manager,RCV-2022-00346,,approved
ADJ-2022-00097,FCL-1023,2022-10-17,medical_consumables,-7.88,case,cycle count correction,warehouse manager,,SHP-2021-00040,posted
ADJ-2022-00098,FCL-1009,2022-10-19,medical_consumables,1.58,case,quality-hold release,inventory supervisor,RCV-2019-00165,,pending_review
ADJ-2023-00099,FCL-1007,2023-04-06,medical_consumables,-2.79,case,procedure stock issue,specialist programme administrator,,,posted
ADJ-2023-00100,FCL-1011,2023-04-16,biological_sample,4.43,sealed_lot,transfer posting correction,finance controller,,SHP-2023-00047,posted
ADJ-2023-00101,FCL-1023,2023-04-22,agricultural_product,-2.38,pallet,damaged packaging write-off,warehouse manager,,SHP-2020-00026,pending_review
ADJ-2023-00102,FCL-1026,2023-06-18,monitoring_equipment,-1.0,kit,late receipt posting,inventory supervisor,RCV-2016-00024,SHP-2022-00027,posted
ADJ-2023-00103,FCL-1019,2023-09-11,monitoring_equipment,7.09,kit,unit-of-measure review,finance controller,,,posted
ADJ-2023-00104,FCL-1014,2023-09-19,monitoring_equipment,-3.34,kit,cycle count correction,quality manager,,,pending_review
ADJ-2023-00105,FCL-1010,2023-09-25,biological_sample,1.0,sealed_lot,damaged packaging write-off,inventory supervisor,,,posted
ADJ-2023-00106,FCL-1003,2023-09-26,medical_consumables,-1.34,case,transfer posting correction,finance controller,,,posted
ADJ-2023-00107,FCL-1024,2023-09-30,biological_sample,-3.39,sealed_lot,cycle count reconciliation,quality manager,,SHP-2023-00060,posted
ADJ-2023-00108,FCL-1028,2023-11-12,agricultural_product,2.17,pallet,damaged packaging write-off,quality manager,,,pending_review
ADJ-2023-00109,FCL-1018,2023-11-24,protective_equipment,7.87,case,quality-hold release,warehouse manager,,,pending_review
ADJ-2023-00110,FCL-1028,2023-11-27,agricultural_product,2.67,pallet,transfer posting correction,quality manager,,,pending_review
ADJ-2023-00111,FCL-1019,2023-11-30,biological_sample,-1.3,sealed_lot,transfer posting correction,quality manager,,SHP-2023-00071,posted
ADJ-2024-00112,FCL-1010,2024-02-09,medical_consumables,-2.4,case,procedure stock issue,quality manager,,,posted
ADJ-2024-00113,FCL-1010,2024-03-01,medical_consumables,-1.75,case,specialist programme issue,quality manager,,,posted
ADJ-2024-00114,FCL-1024,2024-03-14,monitoring_equipment,-4.2,kit,damaged packaging write-off,warehouse manager,,SHP-2022-00038,posted
ADJ-2024-00115,FCL-1006,2024-03-16,medical_consumables,-3.27,case,transfer posting correction,warehouse manager,,SHP-2017-00013,approved
ADJ-2024-00116,FCL-1025,2024-03-21,medical_consumables,-6.68,case,damaged packaging write-off,inventory supervisor,,SHP-2016-00013,posted
ADJ-2024-00117,FCL-1024,2024-03-31,biological_sample,-3.02,sealed_lot,transfer posting correction,quality manager,,SHP-2024-00007,posted
ADJ-2024-00118,FCL-1016,2024-05-17,medical_consumables,3.8,case,damaged packaging write-off,quality manager,RCV-2023-00401,,approved
ADJ-2024-00119,FCL-1004,2024-05-19,agricultural_product,-4.77,pallet,unit-of-measure review,quality manager,RCV-2020-00221,,approved
ADJ-2024-00120,FCL-1020,2024-05-20,agricultural_product,1.62,pallet,cycle count correction,,RCV-2020-00209,,posted
ADJ-2024-00121,FCL-1019,2024-05-31,biological_sample,-4.15,sealed_lot,quality-hold release,quality manager,,SHP-2024-00011,posted
ADJ-2024-00122,FCL-1001,2024-08-12,medical_consumables,1.32,case,cycle count correction,finance controller,,,posted
ADJ-2024-00123,FCL-1018,2024-08-20,medical_consumables,2.49,case,cycle count correction,quality manager,,,pending_review
ADJ-2024-00124,FCL-1007,2024-08-23,medical_consumables,-1.79,case,specialist programme issue,quality manager,,,posted
ADJ-2024-00125,FCL-1024,2024-08-25,biological_sample,2.72,sealed_lot,damaged packaging write-off,finance controller,,,approved
ADJ-2024-00126,FCL-1017,2024-08-28,protective_equipment,5.63,case,unit-of-measure review,inventory supervisor,,,posted
ADJ-2024-00127,FCL-1020,2024-08-31,biological_sample,-2.51,sealed_lot,transfer posting correction,regional operations manager,,SHP-2024-00044,posted
ADJ-2024-00128,FCL-1027,2024-12-28,monitoring_equipment,-3.32,kit,quality-hold release,warehouse manager,,,pending_review
ADJ-2025-00129,FCL-1010,2025-01-31,medical_consumables,-1.6,case,procedure stock issue,specialist programme administrator,,,posted
ADJ-2025-00130,FCL-1014,2025-04-15,monitoring_equipment,5.9,kit,damaged packaging write-off,inventory supervisor,,,approved
ADJ-2025-00131,FCL-1011,2025-04-17,protective_equipment,-7.29,case,transfer posting correction,quality manager,,,posted
ADJ-2025-00132,FCL-1008,2025-04-19,medical_consumables,5.55,case,quality-hold release,finance controller,,,posted
ADJ-2025-00133,FCL-1024,2025-04-30,biological_sample,-2.3,sealed_lot,transfer posting correction,quality manager,,SHP-2025-00005,posted
ADJ-2025-00134,FCL-1027,2025-05-07,biological_sample,-1.82,sealed_lot,cycle count correction,finance controller,,,pending_review
ADJ-2025-00135,FCL-1003,2025-05-09,agricultural_product,5.42,pallet,quality-hold release,inventory supervisor,,,approved
ADJ-2025-00136,FCL-1017,2025-05-11,monitoring_equipment,1.0,kit,transfer posting correction,inventory supervisor,,,posted
ADJ-2025-00137,FCL-1030,2025-06-20,monitoring_equipment,1.0,kit,damaged packaging write-off,quality manager,,,approved
ADJ-2025-00138,FCL-1021,2025-06-20,monitoring_equipment,6.24,kit,transfer posting correction,finance controller,,,approved
ADJ-2025-00139,FCL-1015,2025-06-25,medical_consumables,-2.46,case,damaged packaging write-off,finance controller,,,approved
ADJ-2025-00140,FCL-1019,2025-06-30,biological_sample,-3.59,sealed_lot,transfer posting correction,inventory supervisor,,SHP-2025-00033,posted
