shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status,dispatch_year,dispatch_month,transit_hours
SHP-2015-00010,1,2015-08-24 06:00:00,2015-08-25 08:00:00,BP-30049,BP-30080,FCL-1002,FCL-1020,BP-30060,cold_storage_equipment,15,unit,ambient,ordinary,laboratory delivery,delivered,2015,8,26.0
SHP-2015-00011,1,2015-09-02 09:00:00,2015-09-04 05:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,6,case,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2015,9,44.0
SHP-2015-00012,1,2015-09-09 15:00:00,2015-09-12 10:00:00,BP-30078,BP-30055,FCL-1011,FCL-1010,BP-30020,biological_sample,7,sealed_lot,2-8c,ordinary,scheduled stock transfer,delivered,2015,9,67.0
SHP-2015-00013,1,2015-10-08 08:00:00,2015-10-11 23:00:00,BP-30071,BP-30062,FCL-1011,FCL-1012,BP-30055,office_supply,66,case,ambient,ordinary,scheduled stock transfer,delivered,2015,10,87.0
SHP-2015-00014,1,2015-10-12 07:00:00,2015-10-14 23:00:00,BP-30047,BP-30009,FCL-1016,FCL-1010,BP-30042,laboratory_material,31,pack,ambient,restricted,scheduled stock transfer,delayed,2015,10,64.0
SHP-2015-00015,1,2015-11-22 10:00:00,2015-11-26 06:00:00,BP-30073,BP-30011,FCL-1019,FCL-1012,BP-30020,transport_service,1,service,ambient,ordinary,facility replenishment,delivered,2015,11,92.0
SHP-2015-00016,1,2015-12-09 15:00:00,2015-12-13 11:00:00,BP-30012,BP-30067,FCL-1020,FCL-1023,BP-30025,biological_sample,5,sealed_lot,2-8c,ordinary,customer distribution,delivered,2015,12,92.0
SHP-2015-00017,1,2015-12-26 07:00:00,2015-12-29 15:00:00,BP-30033,BP-30004,FCL-1013,FCL-1029,BP-30055,medical_consumables,78,case,2-8c,ordinary,agricultural distribution,delivered,2015,12,80.0
SHP-2016-00001,1,2016-01-10 14:00:00,2016-01-13 03:00:00,BP-30004,BP-30041,FCL-1029,FCL-1008,BP-30015,monitoring_equipment,13,kit,ambient,ordinary,facility replenishment,returned,2016,1,61.0
SHP-2016-00002,1,2016-02-10 09:00:00,2016-02-11 22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,46,case,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2016,2,37.0
SHP-2016-00003,1,2016-02-15 05:00:00,2016-02-17 03:00:00,BP-30044,BP-30031,FCL-1029,FCL-1023,BP-30055,refrigeration_service,1,service,ambient,expedited,field programme support,delivered,2016,2,46.0
SHP-2016-00004,1,2016-04-25 15:00:00,2016-04-29 10:00:00,BP-30007,BP-30044,FCL-1014,FCL-1029,BP-30031,research_contract,1,contract,ambient,expedited,agricultural distribution,delivered,2016,4,91.0
SHP-2016-00005,1,2016-05-26 13:00:00,2016-05-30 08:00:00,BP-30040,BP-30028,FCL-1015,FCL-1020,BP-30042,agricultural_equipment,21,unit,ambient,ordinary,field programme support,delivered,2016,5,91.0
SHP-2016-00006,1,2016-06-08 09:00:00,2016-06-11 11:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,20,case,2-8c,expedited,temperature-controlled clinical programme delivery,delivered,2016,6,74.0
SHP-2016-00007,1,2016-07-21 09:00:00,2016-07-22 22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,8,sealed_lot,2-8c,expedited,temperature-controlled clinical programme delivery,delivered,2016,7,37.0
SHP-2016-00008,1,2016-07-26 14:00:00,2016-07-28 02:00:00,BP-30080,BP-30072,FCL-1020,FCL-1024,BP-30060,consulting_service,1,service,ambient,emergency,customer distribution,delivered,2016,7,36.0
SHP-2016-00009,1,2016-09-05 13:00:00,2016-09-08 02:00:00,BP-30043,BP-30036,FCL-1010,FCL-1030,BP-30020,consulting_service,1,service,ambient,emergency,scheduled stock transfer,delivered,2016,9,61.0
SHP-2016-00010,1,2016-09-12 17:00:00,2016-09-15 05:00:00,BP-30052,BP-30078,FCL-1011,FCL-1011,BP-30020,medical_consumables,83,case,2-8c,restricted,scheduled stock transfer,returned,2016,9,60.0
SHP-2016-00011,1,2016-10-07 05:00:00,2016-10-08 13:00:00,BP-30065,BP-30043,FCL-1014,FCL-1010,BP-30047,laboratory_material,37,pack,ambient,restricted,scheduled stock transfer,delivered,2016,10,32.0
SHP-2016-00012,1,2016-10-18 12:00:00,2016-10-19 02:00:00,BP-30015,BP-30021,FCL-1006,FCL-1007,BP-30060,agricultural_equipment,10,unit,ambient,ordinary,facility replenishment,delivered,2016,10,14.0
SHP-2016-00013,1,2016-10-27 11:00:00,2016-10-30 02:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,medical_consumables,82,case,2-8c,ordinary,customer distribution,delivered,2016,10,63.0
SHP-2016-00014,1,2016-11-03 16:00:00,2016-11-07 00:00:00,BP-30051,BP-30064,FCL-1005,FCL-1010,BP-30047,monitoring_equipment,29,kit,ambient,ordinary,laboratory delivery,delayed,2016,11,80.0
SHP-2016-00015,1,2016-11-10 16:00:00,2016-11-11 17:00:00,BP-30018,BP-30016,FCL-1003,FCL-1030,BP-30020,consulting_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2016,11,25.0
SHP-2016-00016,1,2016-11-15 15:00:00,2016-11-18 15:00:00,BP-30010,BP-30078,FCL-1016,FCL-1011,BP-30055,cold_storage_equipment,17,unit,ambient,ordinary,customer distribution,delivered,2016,11,72.0
SHP-2016-00017,1,2016-12-20 08:00:00,2016-12-20 22:00:00,BP-30023,BP-30050,FCL-1002,FCL-1028,BP-30025,biological_sample,17,sealed_lot,2-8c,emergency,facility replenishment,delivered,2016,12,14.0
SHP-2017-00001,1,2017-01-18 07:00:00,2017-01-19 04:00:00,BP-30015,BP-30061,FCL-1006,FCL-1030,BP-30060,medical_consumables,69,case,2-8c,ordinary,scheduled stock transfer,delivered,2017,1,21.0
SHP-2017-00002,1,2017-01-19 09:00:00,2017-01-22 07:00:00,BP-30063,BP-30046,FCL-1025,FCL-1010,BP-30020,cold_storage_equipment,2,unit,ambient,restricted,customer distribution,delivered,2017,1,70.0
SHP-2017-00003,1,2017-03-15 14:00:00,2017-03-18 11:00:00,BP-30029,BP-30020,FCL-1004,FCL-1001,BP-30020,medical_equipment,8,unit,ambient,ordinary,scheduled stock transfer,delivered,2017,3,69.0
SHP-2017-00004,1,2017-03-22 11:00:00,2017-03-24 06:00:00,BP-30036,BP-30019,FCL-1030,FCL-1010,BP-30055,cold_storage_equipment,17,unit,ambient,ordinary,facility replenishment,delivered,2017,3,43.0
SHP-2017-00005,1,2017-03-31 09:00:00,,BP-30009,BP-30070,FCL-1010,FCL-1019,BP-30025,transport_service,1,service,ambient,ordinary,customer distribution,in_transit,2017,3,
SHP-2017-00006,1,2017-05-04 09:00:00,2017-05-06 05:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,3,sealed_lot,2-8c,restricted,temperature-controlled clinical programme delivery,delivered,2017,5,44.0
SHP-2017-00007,1,2017-05-23 17:00:00,2017-05-24 05:00:00,BP-30067,BP-30045,FCL-1023,FCL-1016,BP-30047,medical_consumables,84,case,2-8c,ordinary,field programme support,delivered,2017,5,12.0
SHP-2017-00008,1,2017-05-30 07:00:00,2017-05-31 04:00:00,BP-30021,BP-30023,FCL-1007,FCL-1002,BP-30047,refrigeration_service,1,service,ambient,ordinary,customer distribution,delivered,2017,5,21.0
SHP-2017-00009,1,2017-07-22 13:00:00,2017-07-26 06:00:00,BP-30078,BP-30053,FCL-1011,FCL-1030,BP-30078,cold_storage_equipment,2,unit,ambient,ordinary,laboratory delivery,delivered,2017,7,89.0
SHP-2017-00010,1,2017-07-22 18:00:00,2017-07-23 16:00:00,BP-30061,BP-30019,FCL-1030,FCL-1010,BP-30055,monitoring_equipment,24,kit,ambient,ordinary,laboratory delivery,delayed,2017,7,22.0
SHP-2017-00011,1,2017-07-28 07:00:00,2017-07-28 19:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,cold_storage_equipment,2,unit,ambient,ordinary,facility replenishment,delivered,2017,7,12.0
SHP-2017-00012,1,2017-08-17 06:00:00,2017-08-21 05:00:00,BP-30008,BP-30071,FCL-1007,FCL-1011,BP-30042,medical_consumables,25,case,2-8c,ordinary,agricultural distribution,delivered,2017,8,95.0
SHP-2017-00013,1,2017-08-23 08:00:00,2017-08-25 22:00:00,BP-30070,BP-30048,FCL-1019,FCL-1011,BP-30060,laboratory_material,58,pack,ambient,ordinary,field programme support,delivered,2017,8,62.0
SHP-2017-00014,1,2017-08-30 10:00:00,2017-09-02 12:00:00,BP-30010,BP-30014,FCL-1016,FCL-1029,BP-30060,transport_service,1,service,ambient,ordinary,field programme support,delivered,2017,8,74.0
SHP-2017-00015,1,2017-09-13 09:00:00,2017-09-15 23:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,3,sealed_lot,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2017,9,62.0
SHP-2017-00016,1,2017-09-29 06:00:00,2017-10-03 03:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30025,agricultural_product,22,pallet,ambient,expedited,laboratory delivery,delivered,2017,9,93.0
SHP-2017-00017,1,2017-10-26 09:00:00,2017-10-26 15:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,7,sealed_lot,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2017,10,6.0
SHP-2017-00018,1,2017-11-19 11:00:00,2017-11-20 17:00:00,BP-30014,BP-30017,FCL-1029,FCL-1010,BP-30031,agricultural_equipment,9,unit,ambient,expedited,agricultural distribution,delivered,2017,11,30.0
SHP-2017-00019,1,2017-12-30 07:00:00,2017-12-31 02:00:00,BP-30030,BP-30016,FCL-1018,FCL-1030,BP-30047,transport_service,1,service,ambient,ordinary,laboratory delivery,delivered,2017,12,19.0
SHP-2018-00001,1,2018-01-18 09:00:00,2018-01-19 22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,37,case,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2018,1,37.0
SHP-2018-00002,1,2018-02-07 06:00:00,2018-02-10 07:00:00,BP-30045,BP-30024,FCL-1016,FCL-1016,BP-30015,agricultural_equipment,7,unit,ambient,restricted,laboratory delivery,delivered,2018,2,73.0
SHP-2018-00003,1,2018-02-14 09:00:00,2018-02-16 12:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,2,sealed_lot,2-8c,restricted,temperature-controlled clinical programme delivery,delivered,2018,2,51.0
SHP-2018-00004,1,2018-02-16 09:00:00,2018-02-17 04:00:00,BP-30056,BP-30078,FCL-1020,FCL-1020,BP-30047,biological_sample,3,sealed_lot,2-8c,restricted,environmental and wildlife reference materials,delivered,2018,2,19.0
SHP-2018-00005,1,2018-03-19 14:00:00,2018-03-22 00:00:00,BP-30004,BP-30045,FCL-1029,FCL-1016,BP-30015,grant,1,grant,ambient,expedited,scheduled stock transfer,delayed,2018,3,58.0
SHP-2018-00006,1,2018-03-21 05:00:00,2018-03-24 09:00:00,BP-30069,BP-30078,FCL-1008,FCL-1011,BP-30025,medical_equipment,9,unit,ambient,ordinary,laboratory delivery,delivered,2018,3,76.0
SHP-2018-00007,1,2018-03-23 09:00:00,2018-03-25 08:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,5,sealed_lot,2-8c,expedited,environmental and wildlife reference materials,delivered,2018,3,47.0
SHP-2018-00008,1,2018-04-03 05:00:00,2018-04-05 15:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,monitoring_equipment,4,kit,ambient,ordinary,scheduled stock transfer,delayed,2018,4,58.0
SHP-2018-00009,1,2018-04-05 07:00:00,2018-04-08 20:00:00,BP-30049,BP-30070,FCL-1002,FCL-1019,BP-30015,medical_consumables,64,case,2-8c,restricted,facility replenishment,delivered,2018,4,85.0
SHP-2018-00010,1,2018-04-05 10:00:00,2018-04-06 19:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30047,other,4,unit,ambient,ordinary,laboratory delivery,delivered,2018,4,33.0
SHP-2018-00011,1,2018-04-05 13:00:00,2018-04-06 16:00:00,BP-30023,BP-30066,FCL-1002,FCL-1003,BP-30060,laboratory_material,54,pack,ambient,ordinary,agricultural distribution,delivered,2018,4,27.0
SHP-2018-00012,1,2018-04-07 07:00:00,2018-04-10 10:00:00,BP-30020,BP-30056,FCL-1001,FCL-1019,BP-30042,transport_service,1,service,ambient,emergency,agricultural distribution,delivered,2018,4,75.0
SHP-2018-00013,1,2018-04-07 14:00:00,2018-04-08 16:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30015,agricultural_product,25,pallet,ambient,ordinary,facility replenishment,delivered,2018,4,26.0
SHP-2018-00014,1,2018-04-08 18:00:00,2018-04-12 03:00:00,BP-30066,BP-30078,FCL-1003,FCL-1011,BP-30015,refrigeration_service,1,service,ambient,expedited,laboratory delivery,delivered,2018,4,81.0
SHP-2018-00015,1,2018-04-09 08:00:00,2018-04-12 21:00:00,BP-30079,BP-30040,FCL-1022,FCL-1015,BP-30015,monitoring_equipment,7,kit,ambient,restricted,agricultural distribution,delayed,2018,4,85.0
SHP-2018-00016,1,2018-04-10 05:00:00,2018-04-13 22:00:00,BP-30051,BP-30007,FCL-1005,FCL-1014,BP-30055,office_supply,43,case,ambient,expedited,facility replenishment,returned,2018,4,89.0
SHP-2018-00017,1,2018-04-10 12:00:00,,BP-30031,BP-30060,FCL-1023,FCL-1009,BP-30015,protective_equipment,58,case,ambient,expedited,facility replenishment,in_transit,2018,4,
SHP-2018-00018,1,2018-04-10 18:00:00,2018-04-11 01:00:00,BP-30046,BP-30010,FCL-1010,FCL-1016,BP-30025,laboratory_material,50,pack,ambient,expedited,customer distribution,delivered,2018,4,7.0
SHP-2018-00019,1,2018-04-11 14:00:00,2018-04-14 13:00:00,BP-30014,BP-30040,FCL-1029,FCL-1015,BP-30031,agricultural_product,49,pallet,ambient,restricted,facility replenishment,delivered,2018,4,71.0
SHP-2018-00020,1,2018-04-12 10:00:00,2018-04-13 00:00:00,BP-30037,BP-30029,FCL-1017,FCL-1004,BP-30042,laboratory_material,32,pack,ambient,restricted,customer distribution,delivered,2018,4,14.0
SHP-2018-00021,1,2018-04-12 11:00:00,2018-04-14 18:00:00,BP-30009,BP-30076,FCL-1010,FCL-1020,BP-30025,cold_storage_equipment,12,unit,ambient,expedited,scheduled stock transfer,delivered,2018,4,55.0
SHP-2018-00022,1,2018-04-12 15:00:00,2018-04-15 18:00:00,BP-30078,BP-30050,FCL-1011,FCL-1028,BP-30042,monitoring_equipment,20,kit,ambient,ordinary,scheduled stock transfer,delivered,2018,4,75.0
SHP-2018-00023,1,2018-04-13 17:00:00,2018-04-15 12:00:00,BP-30018,BP-30035,FCL-1003,FCL-1009,BP-30047,agricultural_product,28,pallet,ambient,restricted,field programme support,delayed,2018,4,43.0
SHP-2018-00024,1,2018-04-17 14:00:00,2018-04-18 07:00:00,BP-30008,BP-30004,FCL-1007,FCL-1029,BP-30020,agricultural_equipment,18,unit,ambient,ordinary,field programme support,delivered,2018,4,17.0
SHP-2018-00025,1,2018-04-20 18:00:00,2018-04-24 02:00:00,BP-30078,BP-30012,FCL-1011,FCL-1020,BP-30042,communication_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2018,4,80.0
SHP-2018-00026,1,2018-04-21 05:00:00,2018-04-22 02:00:00,BP-30004,BP-30007,FCL-1029,FCL-1014,BP-30020,consulting_service,1,service,ambient,ordinary,facility replenishment,delivered,2018,4,21.0
SHP-2018-00027,1,2018-04-21 10:00:00,2018-04-24 03:00:00,BP-30008,BP-30009,FCL-1007,FCL-1010,BP-30078,monitoring_equipment,24,kit,ambient,ordinary,scheduled stock transfer,delivered,2018,4,65.0
SHP-2018-00028,1,2018-04-22 13:00:00,2018-04-25 04:00:00,BP-30053,BP-30076,FCL-1030,FCL-1020,BP-30020,transport_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2018,4,63.0
SHP-2018-00029,1,2018-04-23 11:00:00,,BP-30046,BP-30078,FCL-1010,FCL-1011,BP-30078,protective_equipment,69,case,ambient,ordinary,scheduled stock transfer,in_transit,2018,4,
SHP-2018-00030,1,2018-04-23 12:00:00,2018-04-26 01:00:00,BP-30074,BP-30020,FCL-1015,FCL-1001,BP-30055,other,19,unit,ambient,ordinary,customer distribution,delivered,2018,4,61.0
SHP-2018-00031,1,2018-04-26 07:00:00,2018-04-27 12:00:00,BP-30054,BP-30014,FCL-1007,FCL-1029,BP-30055,monitoring_equipment,25,kit,ambient,ordinary,laboratory delivery,delayed,2018,4,29.0
SHP-2018-00032,1,2018-05-25 09:00:00,2018-05-29 01:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,3,sealed_lot,2-8c,restricted,environmental and wildlife reference materials,delivered,2018,5,88.0
SHP-2018-00033,1,2018-06-11 16:00:00,2018-06-15 02:00:00,BP-30004,BP-30046,FCL-1029,FCL-1010,BP-30015,protective_equipment,24,case,ambient,ordinary,scheduled stock transfer,delivered,2018,6,82.0
SHP-2018-00034,1,2018-06-13 09:00:00,2018-06-17 05:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,79,case,2-8c,restricted,temperature-controlled clinical programme delivery,delivered,2018,6,92.0
SHP-2018-00035,1,2018-07-16 17:00:00,2018-07-20 07:00:00,BP-30077,BP-30042,FCL-1007,FCL-1015,BP-30055,protective_equipment,33,case,ambient,emergency,facility replenishment,delivered,2018,7,86.0
SHP-2018-00036,1,2018-07-22 12:00:00,2018-07-24 23:00:00,BP-30076,BP-30017,FCL-1020,FCL-1010,BP-30055,office_supply,22,case,ambient,ordinary,scheduled stock transfer,delivered,2018,7,59.0
SHP-2018-00037,1,2018-08-12 08:00:00,2018-08-15 21:00:00,BP-30040,BP-30035,FCL-1015,FCL-1009,BP-30055,agricultural_product,38,pallet,ambient,restricted,field programme support,delivered,2018,8,85.0
SHP-2018-00038,1,2018-08-23 10:00:00,2018-08-24 21:00:00,BP-30010,BP-30057,FCL-1016,FCL-1016,BP-30047,cold_storage_equipment,2,unit,ambient,expedited,laboratory delivery,delivered,2018,8,35.0
SHP-2018-00039,1,2018-08-30 08:00:00,2018-08-31 17:00:00,BP-30078,BP-30018,FCL-1011,FCL-1003,BP-30078,consulting_service,1,service,ambient,ordinary,laboratory delivery,delivered,2018,8,33.0
SHP-2018-00040,1,2018-09-08 17:00:00,2018-09-11 10:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30015,office_supply,62,case,ambient,ordinary,laboratory delivery,delivered,2018,9,65.0
SHP-2018-00041,1,2018-09-21 06:00:00,2018-09-21 20:00:00,BP-30073,BP-30055,FCL-1019,FCL-1010,BP-30042,office_supply,83,case,ambient,expedited,facility replenishment,delivered,2018,9,14.0
SHP-2018-00042,1,2018-09-29 15:00:00,2018-10-01 18:00:00,BP-30032,BP-30065,FCL-1019,FCL-1014,BP-30025,protective_equipment,51,case,ambient,ordinary,laboratory delivery,delivered,2018,9,51.0
SHP-2018-00043,1,2018-10-19 15:00:00,,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,cold_storage_equipment,9,unit,ambient,ordinary,laboratory delivery,in_transit,2018,10,
SHP-2018-00044,1,2018-11-03 17:00:00,2018-11-04 10:00:00,BP-30052,BP-30008,FCL-1011,FCL-1007,BP-30020,agricultural_product,26,pallet,ambient,restricted,laboratory delivery,delivered,2018,11,17.0
SHP-2018-00045,1,2018-11-13 11:00:00,2018-11-14 20:00:00,BP-30049,BP-30047,FCL-1002,FCL-1016,BP-30078,agricultural_equipment,3,unit,ambient,ordinary,customer distribution,delivered,2018,11,33.0
SHP-2018-00046,1,2018-12-16 16:00:00,2018-12-17 02:00:00,BP-30029,BP-30035,FCL-1004,FCL-1009,BP-30078,biological_sample,8,sealed_lot,2-8c,ordinary,field programme support,delivered,2018,12,10.0
SHP-2018-00047,1,2018-12-29 11:00:00,2018-12-30 19:00:00,BP-30078,BP-30071,FCL-1011,FCL-1011,BP-30055,agricultural_product,13,pallet,frozen,expedited,customer distribution,delivered,2018,12,32.0
SHP-2019-00001,1,2019-01-12 13:00:00,2019-01-16 01:00:00,BP-30070,BP-30035,FCL-1019,FCL-1009,BP-30020,agricultural_equipment,19,unit,ambient,expedited,facility replenishment,delayed,2019,1,84.0
SHP-2019-00002,1,2019-02-05 11:00:00,2019-02-06 00:00:00,BP-30001,BP-30044,FCL-1025,FCL-1029,BP-30025,consulting_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2019,2,13.0
SHP-2019-00003,1,2019-03-06 09:00:00,2019-03-06 22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,60,case,2-8c,restricted,temperature-controlled clinical programme delivery,delivered,2019,3,13.0
SHP-2019-00004,1,2019-04-18 14:00:00,,BP-30014,BP-30006,FCL-1029,FCL-1019,BP-30078,office_supply,63,case,ambient,ordinary,laboratory delivery,in_transit,2019,4,
SHP-2019-00005,1,2019-04-19 09:00:00,,BP-30004,BP-30006,FCL-1029,FCL-1019,BP-30055,consulting_service,1,service,ambient,ordinary,laboratory delivery,in_transit,2019,4,
SHP-2019-00006,1,2019-05-09 09:00:00,2019-05-10 15:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,8,sealed_lot,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2019,5,30.0
SHP-2019-00007,1,2019-07-04 09:00:00,2019-07-06 18:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30047,laboratory_material,4,pack,ambient,ordinary,facility replenishment,delivered,2019,7,57.0
SHP-2019-00008,1,2019-07-08 15:00:00,2019-07-08 21:00:00,BP-30065,BP-30040,FCL-1014,FCL-1015,BP-30078,agricultural_product,15,pallet,ambient,restricted,facility replenishment,delivered,2019,7,6.0
SHP-2019-00009,1,2019-08-09 09:00:00,2019-08-11 18:00:00,BP-30056,BP-30078,FCL-1020,FCL-1020,BP-30047,biological_sample,2,sealed_lot,2-8c,expedited,environmental and wildlife reference materials,delivered,2019,8,57.0
SHP-2019-00010,1,2019-08-19 07:00:00,2019-08-19 23:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30031,laboratory_material,39,pack,ambient,ordinary,agricultural distribution,delayed,2019,8,16.0
SHP-2019-00011,1,2019-08-26 11:00:00,2019-08-29 06:00:00,BP-30078,BP-30076,FCL-1011,FCL-1020,BP-30055,protective_equipment,49,case,ambient,expedited,field programme support,delivered,2019,8,67.0
SHP-2019-00012,1,2019-08-31 13:00:00,2019-09-03 16:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,medical_consumables,54,case,2-8c,ordinary,scheduled stock transfer,delivered,2019,8,75.0
SHP-2019-00013,1,2019-09-02 08:00:00,2019-09-06 03:00:00,BP-30066,BP-30016,FCL-1003,FCL-1030,BP-30025,medical_consumables,44,case,2-8c,ordinary,facility replenishment,delivered,2019,9,91.0
SHP-2019-00014,1,2019-09-02 09:00:00,2019-09-02 17:00:00,BP-30044,BP-30002,FCL-1029,FCL-1030,BP-30078,office_supply,42,case,ambient,ordinary,laboratory delivery,delivered,2019,9,8.0
SHP-2019-00015,1,2019-09-02 11:00:00,2019-09-05 05:00:00,BP-30015,BP-30035,FCL-1006,FCL-1009,BP-30025,cold_storage_equipment,24,unit,ambient,ordinary,field programme support,delivered,2019,9,66.0
SHP-2019-00016,1,2019-09-02 14:00:00,2019-09-04 22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,agricultural_product,15,pallet,frozen,ordinary,facility replenishment,returned,2019,9,56.0
SHP-2019-00017,1,2019-09-04 15:00:00,2019-09-08 09:00:00,BP-30035,BP-30042,FCL-1009,FCL-1015,BP-30020,biological_sample,4,sealed_lot,2-8c,ordinary,field programme support,delivered,2019,9,90.0
SHP-2019-00018,1,2019-09-06 09:00:00,2019-09-06 16:00:00,BP-30019,BP-30015,FCL-1010,FCL-1006,BP-30025,monitoring_equipment,17,kit,ambient,ordinary,facility replenishment,delivered,2019,9,7.0
SHP-2019-00019,1,2019-09-07 05:00:00,2019-09-11 03:00:00,BP-30053,BP-30046,FCL-1030,FCL-1010,BP-30047,medical_consumables,90,case,2-8c,ordinary,agricultural distribution,delivered,2019,9,94.0
SHP-2019-00020,1,2019-09-07 09:00:00,2019-09-09 07:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30020,cold_storage_equipment,3,unit,ambient,ordinary,field programme support,delivered,2019,9,46.0
SHP-2019-00021,1,2019-09-11 18:00:00,2019-09-15 09:00:00,BP-30017,BP-30055,FCL-1010,FCL-1010,BP-30055,research_contract,1,contract,ambient,ordinary,customer distribution,delivered,2019,9,87.0
