site_code,site_name,site_category,region,jurisdiction,latitude,longitude,elevation_m,habitat_category,cave_access_category,orchard_context,programme_start_date,programme_end_date,site_status
AVL-BWK,Sable Orchard Monitoring Site,habitat monitoring,Eastern Avelora Agricultural Cluster,Avelora Federation,7.4404,101.5683,114.1,mixed_forest,not applicable,none recorded,2017-01-01,,active
AVL-BVM,Vireo Cavern Monitoring Site,habitat monitoring,Eastern Avelora Agricultural Cluster,Avelora Federation,7.5208,101.8087,101.9,research_site,not applicable,none recorded,2017-01-01,,active
AVL-ABG,Zephyr Reach Monitoring Site,habitat monitoring,Eastern Avelora Agricultural Cluster,Avelora Federation,7.7413,102.0571,206.6,mixed_forest,not applicable,none recorded,2018-01-01,,active
AVL-SEY,Cedar Garden Monitoring Site,habitat monitoring,Eastern Avelora Agricultural Cluster,Avelora Federation,7.4266,101.3263,239.2,mixed_forest,not applicable,none recorded,2018-01-01,,active
AVL-HUA,Fern Meadow Monitoring Site,orchard monitoring,Eastern Avelora Agricultural Cluster,Avelora Federation,7.7014,101.8681,100.5,mixed_agriculture,not applicable,commercial or research orchard,2017-01-01,,active
AVL-FNM,Ivory Valley Monitoring Site,habitat monitoring,Eastern Avelora Agricultural Cluster,Avelora Federation,7.6634,101.9841,153.6,research_site,not applicable,none recorded,2016-01-01,,active
AVL-NMQ,Lotus Grove Monitoring Site,orchard monitoring,Eastern Avelora Agricultural Cluster,Avelora Federation,7.5807,101.7294,128.9,durian_orchard,not applicable,commercial or research orchard,2017-01-01,,active
AVL-FNQ,Osprey Coast Monitoring Site,orchard monitoring,Eastern Avelora Agricultural Cluster,Avelora Federation,7.3956,101.9351,277.2,mixed_agriculture,not applicable,commercial or research orchard,2016-01-01,,active
TMB-HVD,Rattan Ridge Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.1924,104.0316,5.0,mixed_forest,not applicable,none recorded,2016-01-01,,active
TMB-VZT,Umber Forest Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.1808,104.3438,9.7,coastal_habitat,not applicable,none recorded,2016-01-01,,active
TMB-CKU,Yarrow Corridor Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,1.9648,104.4461,91.1,coastal_habitat,not applicable,none recorded,2018-01-01,,active
TMB-WYT,Banyan Hollow Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.5221,104.0381,127.0,mixed_forest,not applicable,none recorded,2016-01-01,,active
TMB-GWP,Ember Plateau Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.2397,104.1567,59.9,coastal_habitat,not applicable,none recorded,2016-01-01,,active
TMB-BRC,Heron Basin Monitoring Site,orchard monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.1668,104.4755,220.6,durian_orchard,not applicable,commercial or research orchard,2018-01-01,,active
TMB-SKZ,Kora Wetland Monitoring Site,orchard monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.4754,104.08,118.6,durian_orchard,not applicable,commercial or research orchard,2017-01-01,,active
TMB-UVF,Nerine Reserve Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,1.7668,104.51,53.4,mixed_forest,not applicable,none recorded,2018-01-01,,active
TMB-HFR,Quartz Orchard Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.23,104.0481,5.0,mixed_forest,not applicable,none recorded,2018-01-01,,active
TMB-GZX,Tamarind Cavern Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.4151,104.5084,84.7,mixed_forest,not applicable,none recorded,2018-01-01,,active
TMB-AYQ,Willow Reach Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.1911,104.5686,142.4,coastal_habitat,not applicable,none recorded,2017-01-01,,active
TMB-HQL,Amber Garden Monitoring Site,orchard monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.1263,104.56,5.0,durian_orchard,not applicable,commercial or research orchard,2017-01-01,,active
TMB-XTD,Dune Meadow Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.1164,104.4596,5.0,coastal_habitat,not applicable,none recorded,2018-01-01,,active
TMB-WST,Garnet Valley Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.0828,104.5359,195.6,coastal_habitat,not applicable,none recorded,2018-01-01,,active
TMB-SXP,Juniper Grove Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.374,104.4519,5.0,coastal_habitat,not applicable,none recorded,2018-01-01,,active
TMB-WQL,Mango Coast Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.1344,104.537,101.5,mixed_forest,not applicable,none recorded,2016-01-01,,active
TMB-QCB,Pandan Ridge Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.4132,104.2858,110.2,mixed_forest,not applicable,none recorded,2016-01-01,,active
TMB-DLQ,Sable Forest Monitoring Site,habitat monitoring,Tembara Coastal Cluster,Tembara Commonwealth,2.5893,104.4711,5.0,coastal_habitat,not applicable,none recorded,2017-01-01,,active
