regulatory_event_id,case_number,case_category,event_time,activity,subject_name,subject_registration_number,agency_name,initiating_source,assigned_unit,related_site_code,related_shipment_number,previous_status,new_status,outcome,public_reference
RGE-000024,REG-2021-0004,environmental_complaint,2021-05-26T09:00:00,case_closed,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,monitoring,closed,case closed,PUB-2021-0005
RGE-000025,REG-2021-0005,environmental_complaint,2021-08-29T09:00:00,case_opened,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,new,open,case registered,PUB-2021-0006
RGE-000026,REG-2021-0005,environmental_complaint,2021-09-02T09:00:00,evidence_received,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,open,evidence_review,material received from Earth Ledger Project,PUB-2021-0006
RGE-000027,REG-2021-0005,environmental_complaint,2021-09-04T09:00:00,triage_review,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,evidence_review,assigned,case assigned,PUB-2021-0006
RGE-000028,REG-2021-0005,environmental_complaint,2021-09-07T09:00:00,technical_review,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,assigned,findings_review,technical review completed,PUB-2021-0006
RGE-000029,REG-2021-0005,environmental_complaint,2021-09-10T09:00:00,referral_recorded,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,findings_review,referred,operational review referred,PUB-2021-0006
RGE-000030,REG-2021-0005,environmental_complaint,2021-09-17T09:00:00,case_closed,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,referred,closed,case closed after review,PUB-2021-0006
RGE-000031,REG-2022-0006,shipment_inspection,2022-02-06T09:00:00,case_opened,Tembara Biodiversity Service,,Orison Medical Audit Board,civil society referral,integrity review,TMB-NAC,SHP-2022-00018,new,open,case registered,
RGE-000032,REG-2022-0006,shipment_inspection,2022-02-10T09:00:00,evidence_received,Tembara Biodiversity Service,,Orison Medical Audit Board,civil society referral,integrity review,TMB-NAC,SHP-2022-00018,open,evidence_review,material received from Threshold Earth Observatory,
RGE-000033,REG-2022-0006,shipment_inspection,2022-02-12T09:00:00,triage_review,Tembara Biodiversity Service,,Orison Medical Audit Board,civil society referral,integrity review,TMB-NAC,SHP-2022-00018,evidence_review,assigned,case assigned,
RGE-000034,REG-2022-0006,shipment_inspection,2022-02-14T09:00:00,inspection_scheduled,Tembara Biodiversity Service,,Orison Medical Audit Board,civil society referral,integrity review,TMB-NAC,SHP-2022-00018,assigned,inspection_pending,inspection scheduled,
RGE-000035,REG-2022-0006,shipment_inspection,2022-02-17T09:00:00,inspection_completed,Tembara Biodiversity Service,,Orison Medical Audit Board,civil society referral,integrity review,TMB-NAC,SHP-2022-00018,inspection_pending,findings_review,inspection completed,
RGE-000036,REG-2022-0006,shipment_inspection,2022-02-19T09:00:00,finding_issued,Tembara Biodiversity Service,,Orison Medical Audit Board,civil society referral,integrity review,TMB-NAC,SHP-2022-00018,findings_review,monitoring,monitoring recommendation issued,
RGE-000037,REG-2022-0006,shipment_inspection,2022-02-24T09:00:00,case_closed,Tembara Biodiversity Service,,Orison Medical Audit Board,civil society referral,integrity review,TMB-NAC,SHP-2022-00018,monitoring,closed,case closed,
RGE-000038,REG-2022-0007,environmental_complaint,2022-10-23T09:00:00,case_opened,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-VEL,SHP-2023-00071,new,open,case registered,
RGE-000039,REG-2022-0007,environmental_complaint,2022-10-27T09:00:00,evidence_received,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-VEL,SHP-2023-00071,open,evidence_review,material received from Common Ground Climate Forum,
RGE-000040,REG-2022-0007,environmental_complaint,2022-10-29T09:00:00,triage_review,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-VEL,SHP-2023-00071,evidence_review,assigned,case assigned,
RGE-000041,REG-2022-0007,environmental_complaint,2022-11-01T09:00:00,technical_review,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-VEL,SHP-2023-00071,assigned,findings_review,technical review completed,
RGE-000042,REG-2022-0007,environmental_complaint,2022-11-05T09:00:00,finding_issued,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-VEL,SHP-2023-00071,findings_review,action_required,temporary restriction issued,
RGE-000043,REG-2022-0007,environmental_complaint,2022-11-14T09:00:00,case_closed,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-VEL,SHP-2023-00071,action_required,closed,action recorded,
RGE-000044,REG-2023-0008,environmental_complaint,2023-04-10T09:00:00,case_opened,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2024-00007,new,open,case registered,
RGE-000045,REG-2023-0008,environmental_complaint,2023-04-14T09:00:00,evidence_received,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2024-00007,open,evidence_review,material received from Lantern Investigative Bureau,
RGE-000046,REG-2023-0008,environmental_complaint,2023-04-16T09:00:00,triage_review,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2024-00007,evidence_review,assigned,case assigned,
RGE-000047,REG-2023-0008,environmental_complaint,2023-04-19T09:00:00,technical_review,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2024-00007,assigned,findings_review,technical review completed,
RGE-000048,REG-2023-0008,environmental_complaint,2023-04-22T09:00:00,referral_recorded,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2024-00007,findings_review,referred,operational review referred,
RGE-000049,REG-2023-0008,environmental_complaint,2023-04-29T09:00:00,case_closed,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2024-00007,referred,closed,case closed after review,
RGE-000050,REG-2024-0009,shipment_inspection,2024-05-31T09:00:00,case_opened,Meridian BioLogistics,REG-VLN-01001,Orison Medical Audit Board,civil society referral,integrity review,AVL-MAR,SHP-2024-00011,new,open,case registered,
RGE-000051,REG-2024-0009,shipment_inspection,2024-06-04T09:00:00,evidence_received,Meridian BioLogistics,REG-VLN-01001,Orison Medical Audit Board,civil society referral,integrity review,AVL-MAR,SHP-2024-00011,open,evidence_review,material received from Earth Ledger Project,
RGE-000052,REG-2024-0009,shipment_inspection,2024-06-06T09:00:00,triage_review,Meridian BioLogistics,REG-VLN-01001,Orison Medical Audit Board,civil society referral,integrity review,AVL-MAR,SHP-2024-00011,evidence_review,assigned,case assigned,
RGE-000053,REG-2024-0009,shipment_inspection,2024-06-08T09:00:00,inspection_scheduled,Meridian BioLogistics,REG-VLN-01001,Orison Medical Audit Board,civil society referral,integrity review,AVL-MAR,SHP-2024-00011,assigned,inspection_pending,inspection scheduled,
RGE-000054,REG-2024-0009,shipment_inspection,2024-06-11T09:00:00,inspection_completed,Meridian BioLogistics,REG-VLN-01001,Orison Medical Audit Board,civil society referral,integrity review,AVL-MAR,SHP-2024-00011,inspection_pending,findings_review,inspection completed,
RGE-000055,REG-2024-0009,shipment_inspection,2024-06-12T09:00:00,referral_recorded,Meridian BioLogistics,REG-VLN-01001,Orison Medical Audit Board,civil society referral,integrity review,AVL-MAR,SHP-2024-00011,findings_review,referred,operational review referred,
RGE-000056,REG-2024-0009,shipment_inspection,2024-06-19T09:00:00,case_closed,Meridian BioLogistics,REG-VLN-01001,Orison Medical Audit Board,civil society referral,integrity review,AVL-MAR,SHP-2024-00011,referred,closed,case closed after review,
RGE-000057,REG-2025-0010,environmental_complaint,2025-02-03T09:00:00,case_opened,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-SEN,SHP-2025-00005,new,open,case registered,
RGE-000058,REG-2025-0010,environmental_complaint,2025-02-07T09:00:00,evidence_received,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-SEN,SHP-2025-00005,open,evidence_review,material received from Pollinator Justice Network,
RGE-000059,REG-2025-0010,environmental_complaint,2025-02-09T09:00:00,triage_review,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-SEN,SHP-2025-00005,evidence_review,assigned,case assigned,
RGE-000060,REG-2025-0010,environmental_complaint,2025-02-12T09:00:00,technical_review,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-SEN,SHP-2025-00005,assigned,findings_review,technical review completed,
RGE-000061,REG-2025-0010,environmental_complaint,2025-02-16T09:00:00,finding_issued,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-SEN,SHP-2025-00005,findings_review,action_required,temporary restriction issued,
RGE-000062,REG-2025-0010,environmental_complaint,2025-02-25T09:00:00,case_closed,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-SEN,SHP-2025-00005,action_required,closed,action recorded,
RGE-000063,REG-2023-0011,wildlife_inspection,2023-09-21T10:00:00,case_opened,Kintara Rural Transport Board,,Tembara Customs Coordination Unit,routine referral,case review,KNT-CYP,,new,open,case registered,PUB-2023-0012
RGE-000064,REG-2023-0011,wildlife_inspection,2023-09-23T10:00:00,evidence_received,Kintara Rural Transport Board,,Tembara Customs Coordination Unit,routine referral,case review,KNT-CYP,,open,evidence_review,records received,PUB-2023-0012
RGE-000065,REG-2023-0011,wildlife_inspection,2023-09-25T10:00:00,triage_review,Kintara Rural Transport Board,,Tembara Customs Coordination Unit,routine referral,case review,KNT-CYP,,evidence_review,assigned,case assigned,PUB-2023-0012
RGE-000066,REG-2023-0011,wildlife_inspection,2023-09-28T10:00:00,inspection_scheduled,Kintara Rural Transport Board,,Tembara Customs Coordination Unit,routine referral,case review,KNT-CYP,,assigned,inspection_pending,inspection scheduled,PUB-2023-0012
RGE-000067,REG-2023-0011,wildlife_inspection,2023-10-03T10:00:00,inspection_completed,Kintara Rural Transport Board,,Tembara Customs Coordination Unit,routine referral,case review,KNT-CYP,,inspection_pending,findings_review,inspection completed,PUB-2023-0012
RGE-000068,REG-2023-0011,wildlife_inspection,2023-10-06T10:00:00,finding_issued,Kintara Rural Transport Board,,Tembara Customs Coordination Unit,routine referral,case review,KNT-CYP,,findings_review,action_required,corrective action requested,PUB-2023-0012
RGE-000069,REG-2023-0011,wildlife_inspection,2023-10-26T10:00:00,case_closed,Kintara Rural Transport Board,,Tembara Customs Coordination Unit,routine referral,case review,KNT-CYP,,action_required,closed,corrective action accepted,PUB-2023-0012
RGE-000070,REG-2019-0012,procurement_review,2019-09-03T10:00:00,case_opened,Auric Medical Supplies,REG-VLN-20004,Orison Medical Audit Board,routine referral,case review,,,new,open,case registered,
RGE-000071,REG-2019-0012,procurement_review,2019-09-05T10:00:00,evidence_received,Auric Medical Supplies,REG-VLN-20004,Orison Medical Audit Board,routine referral,case review,,,open,evidence_review,records received,
RGE-000072,REG-2019-0012,procurement_review,2019-09-07T10:00:00,triage_review,Auric Medical Supplies,REG-VLN-20004,Orison Medical Audit Board,routine referral,case review,,,evidence_review,assigned,case assigned,
RGE-000073,REG-2019-0012,procurement_review,2019-09-13T10:00:00,technical_review,Auric Medical Supplies,REG-VLN-20004,Orison Medical Audit Board,routine referral,case review,,,assigned,findings_review,technical review completed,
RGE-000074,REG-2019-0012,procurement_review,2019-09-21T10:00:00,case_closed,Auric Medical Supplies,REG-VLN-20004,Orison Medical Audit Board,routine referral,case review,,,findings_review,closed,case closed without further action,
RGE-000075,REG-2017-0013,medical_audit,2017-09-12T10:00:00,case_opened,Lumen Protective Equipment,REG-VLN-20016,Avelora Food Standards Office,routine referral,case review,,,new,open,case registered,
RGE-000076,REG-2017-0013,medical_audit,2017-09-14T10:00:00,evidence_received,Lumen Protective Equipment,REG-VLN-20016,Avelora Food Standards Office,routine referral,case review,,,open,evidence_review,records received,
RGE-000077,REG-2017-0013,medical_audit,2017-09-16T10:00:00,triage_review,Lumen Protective Equipment,REG-VLN-20016,Avelora Food Standards Office,routine referral,case review,,,evidence_review,assigned,case assigned,
RGE-000078,REG-2017-0013,medical_audit,2017-09-19T10:00:00,inspection_scheduled,Lumen Protective Equipment,REG-VLN-20016,Avelora Food Standards Office,routine referral,case review,,,assigned,inspection_pending,inspection scheduled,
RGE-000079,REG-2017-0013,medical_audit,2017-09-24T10:00:00,inspection_completed,Lumen Protective Equipment,REG-VLN-20016,Avelora Food Standards Office,routine referral,case review,,,inspection_pending,findings_review,inspection completed,
RGE-000080,REG-2017-0013,medical_audit,2017-09-30T10:00:00,case_closed,Lumen Protective Equipment,REG-VLN-20016,Avelora Food Standards Office,routine referral,case review,,,findings_review,closed,case closed without further action,
RGE-000081,REG-2020-0014,corporate_transparency,2020-04-23T10:00:00,case_opened,Willow Regional Media Service,REG-AVL-20030,Valenne Public Procurement Authority,routine referral,case review,,,new,open,case registered,PUB-2020-0015
RGE-000082,REG-2020-0014,corporate_transparency,2020-04-25T10:00:00,evidence_received,Willow Regional Media Service,REG-AVL-20030,Valenne Public Procurement Authority,routine referral,case review,,,open,evidence_review,records received,PUB-2020-0015
RGE-000083,REG-2020-0014,corporate_transparency,2020-04-27T10:00:00,triage_review,Willow Regional Media Service,REG-AVL-20030,Valenne Public Procurement Authority,routine referral,case review,,,evidence_review,assigned,case assigned,PUB-2020-0015
RGE-000084,REG-2020-0014,corporate_transparency,2020-05-03T10:00:00,technical_review,Willow Regional Media Service,REG-AVL-20030,Valenne Public Procurement Authority,routine referral,case review,,,assigned,findings_review,technical review completed,PUB-2020-0015
RGE-000085,REG-2020-0014,corporate_transparency,2020-05-11T10:00:00,case_closed,Willow Regional Media Service,REG-AVL-20030,Valenne Public Procurement Authority,routine referral,case review,,,findings_review,closed,case closed without further action,PUB-2020-0015
RGE-000086,REG-2022-0015,environmental_complaint,2022-02-12T10:00:00,case_opened,Kintara Cave and Pollinator Authority,,Nordhaven Maritime Safety Agency,routine referral,case review,KNT-JAK,,new,open,case registered,
RGE-000087,REG-2022-0015,environmental_complaint,2022-02-14T10:00:00,evidence_received,Kintara Cave and Pollinator Authority,,Nordhaven Maritime Safety Agency,routine referral,case review,KNT-JAK,,open,evidence_review,records received,
RGE-000088,REG-2022-0015,environmental_complaint,2022-02-16T10:00:00,triage_review,Kintara Cave and Pollinator Authority,,Nordhaven Maritime Safety Agency,routine referral,case review,KNT-JAK,,evidence_review,assigned,case assigned,
RGE-000089,REG-2022-0015,environmental_complaint,2022-02-22T10:00:00,technical_review,Kintara Cave and Pollinator Authority,,Nordhaven Maritime Safety Agency,routine referral,case review,KNT-JAK,,assigned,findings_review,technical review completed,
RGE-000090,REG-2022-0015,environmental_complaint,2022-03-02T10:00:00,case_closed,Kintara Cave and Pollinator Authority,,Nordhaven Maritime Safety Agency,routine referral,case review,KNT-JAK,,findings_review,closed,case closed without further action,
RGE-000091,REG-2022-0016,shipment_inspection,2022-10-15T10:00:00,case_opened,Kestrel Conservation Services,REG-KNT-20014,Tembara Customs Coordination Unit,routine referral,case review,,SHP-2021-00019,new,open,case registered,
RGE-000092,REG-2022-0016,shipment_inspection,2022-10-17T10:00:00,evidence_received,Kestrel Conservation Services,REG-KNT-20014,Tembara Customs Coordination Unit,routine referral,case review,,SHP-2021-00019,open,evidence_review,records received,
RGE-000093,REG-2022-0016,shipment_inspection,2022-10-19T10:00:00,triage_review,Kestrel Conservation Services,REG-KNT-20014,Tembara Customs Coordination Unit,routine referral,case review,,SHP-2021-00019,evidence_review,assigned,case assigned,
RGE-000094,REG-2022-0016,shipment_inspection,2022-10-22T10:00:00,inspection_scheduled,Kestrel Conservation Services,REG-KNT-20014,Tembara Customs Coordination Unit,routine referral,case review,,SHP-2021-00019,assigned,inspection_pending,inspection scheduled,
RGE-000095,REG-2022-0016,shipment_inspection,2022-10-27T10:00:00,inspection_completed,Kestrel Conservation Services,REG-KNT-20014,Tembara Customs Coordination Unit,routine referral,case review,,SHP-2021-00019,inspection_pending,findings_review,inspection completed,
RGE-000096,REG-2022-0016,shipment_inspection,2022-11-02T10:00:00,case_closed,Kestrel Conservation Services,REG-KNT-20014,Tembara Customs Coordination Unit,routine referral,case review,,SHP-2021-00019,findings_review,closed,case closed without further action,
RGE-000097,REG-2018-0017,wildlife_inspection,2018-04-04T10:00:00,case_opened,Avelora Agricultural Resilience Agency,,Orison Medical Audit Board,routine referral,case review,KNT-VLB,,new,open,case registered,PUB-2018-0018
RGE-000098,REG-2018-0017,wildlife_inspection,2018-04-06T10:00:00,evidence_received,Avelora Agricultural Resilience Agency,,Orison Medical Audit Board,routine referral,case review,KNT-VLB,,open,evidence_review,records received,PUB-2018-0018
RGE-000099,REG-2018-0017,wildlife_inspection,2018-04-08T10:00:00,triage_review,Avelora Agricultural Resilience Agency,,Orison Medical Audit Board,routine referral,case review,KNT-VLB,,evidence_review,assigned,case assigned,PUB-2018-0018
RGE-000100,REG-2018-0017,wildlife_inspection,2018-04-11T10:00:00,inspection_scheduled,Avelora Agricultural Resilience Agency,,Orison Medical Audit Board,routine referral,case review,KNT-VLB,,assigned,inspection_pending,inspection scheduled,PUB-2018-0018
RGE-000101,REG-2018-0017,wildlife_inspection,2018-04-16T10:00:00,inspection_completed,Avelora Agricultural Resilience Agency,,Orison Medical Audit Board,routine referral,case review,KNT-VLB,,inspection_pending,findings_review,inspection completed,PUB-2018-0018
RGE-000102,REG-2018-0017,wildlife_inspection,2018-04-19T10:00:00,finding_issued,Avelora Agricultural Resilience Agency,,Orison Medical Audit Board,routine referral,case review,KNT-VLB,,findings_review,action_required,corrective action requested,
RGE-000103,REG-2018-0017,wildlife_inspection,2018-05-09T10:00:00,case_closed,Avelora Agricultural Resilience Agency,,Orison Medical Audit Board,routine referral,case review,KNT-VLB,,action_required,closed,corrective action accepted,PUB-2018-0018
RGE-000104,REG-2016-0018,procurement_review,2016-04-10T10:00:00,case_opened,Velin Packaging Industries,REG-AVL-20021,Avelora Food Standards Office,routine referral,case review,,,new,open,case registered,
RGE-000105,REG-2016-0018,procurement_review,2016-04-12T10:00:00,evidence_received,Velin Packaging Industries,REG-AVL-20021,Avelora Food Standards Office,routine referral,case review,,,open,evidence_review,records received,
RGE-000106,REG-2016-0018,procurement_review,2016-04-14T10:00:00,triage_review,Velin Packaging Industries,REG-AVL-20021,Avelora Food Standards Office,routine referral,case review,,,evidence_review,assigned,case assigned,
RGE-000107,REG-2016-0018,procurement_review,2016-04-20T10:00:00,technical_review,Velin Packaging Industries,REG-AVL-20021,Avelora Food Standards Office,routine referral,case review,,,assigned,findings_review,technical review completed,
RGE-000108,REG-2016-0018,procurement_review,2016-04-28T10:00:00,case_closed,Velin Packaging Industries,REG-AVL-20021,Avelora Food Standards Office,routine referral,case review,,,findings_review,closed,case closed without further action,
RGE-000109,REG-2019-0019,medical_audit,2019-09-14T10:00:00,case_opened,North Quay Biomedical Storage,REG-NDH-20039,Valenne Public Procurement Authority,routine referral,case review,,,new,open,case registered,
RGE-000110,REG-2019-0019,medical_audit,2019-09-16T10:00:00,evidence_received,North Quay Biomedical Storage,REG-NDH-20039,Valenne Public Procurement Authority,routine referral,case review,,,open,evidence_review,records received,
RGE-000111,REG-2019-0019,medical_audit,2019-09-18T10:00:00,triage_review,North Quay Biomedical Storage,REG-NDH-20039,Valenne Public Procurement Authority,routine referral,case review,,,evidence_review,assigned,case assigned,
RGE-000112,REG-2019-0019,medical_audit,2019-09-21T10:00:00,inspection_scheduled,North Quay Biomedical Storage,REG-NDH-20039,Valenne Public Procurement Authority,routine referral,case review,,,assigned,inspection_pending,inspection scheduled,
RGE-000113,REG-2019-0019,medical_audit,2019-09-26T10:00:00,inspection_completed,North Quay Biomedical Storage,REG-NDH-20039,Valenne Public Procurement Authority,routine referral,case review,,,inspection_pending,findings_review,inspection completed,
RGE-000114,REG-2019-0019,medical_audit,2019-10-02T10:00:00,case_closed,North Quay Biomedical Storage,REG-NDH-20039,Valenne Public Procurement Authority,routine referral,case review,,,findings_review,closed,case closed without further action,
RGE-000115,REG-2019-0020,corporate_transparency,2019-12-26T10:00:00,case_opened,Horizon Field Research Cooperative,REG-AVL-01013,Tembara Customs Coordination Unit,routine referral,case review,,,new,open,case registered,PUB-2019-0021
RGE-000116,REG-2019-0020,corporate_transparency,2019-12-28T10:00:00,evidence_received,Horizon Field Research Cooperative,REG-AVL-01013,Tembara Customs Coordination Unit,routine referral,case review,,,open,evidence_review,records received,PUB-2019-0021
RGE-000117,REG-2019-0020,corporate_transparency,2019-12-30T10:00:00,triage_review,Horizon Field Research Cooperative,REG-AVL-01013,Tembara Customs Coordination Unit,routine referral,case review,,,evidence_review,assigned,case assigned,PUB-2019-0021
RGE-000118,REG-2019-0020,corporate_transparency,2020-01-05T10:00:00,technical_review,Horizon Field Research Cooperative,REG-AVL-01013,Tembara Customs Coordination Unit,routine referral,case review,,,assigned,findings_review,technical review completed,PUB-2019-0021
RGE-000119,REG-2019-0020,corporate_transparency,2020-01-13T10:00:00,case_closed,Horizon Field Research Cooperative,REG-AVL-01013,Tembara Customs Coordination Unit,routine referral,case review,,,findings_review,closed,case closed without further action,PUB-2019-0021
