source_bundle,source_system_id,file_name,field_name,logical_type,key_role,description,example_value
SB02,SYS-CLN-OPS,patient_administration.csv,registered_sex,categorical_or_text,non_key,Registered sex.,male
SB02,SYS-CLN-OPS,patient_administration.csv,home_region,categorical_or_text,non_key,Home region.,Valenne Republic
SB02,SYS-CLN-OPS,patient_administration.csv,occupation_text,categorical_or_text,non_key,Occupation text.,corporate adviser
SB02,SYS-CLN-OPS,patient_administration.csv,registration_date,date_or_datetime,non_key,Registration date.,2018-01-01
SB02,SYS-CLN-OPS,patient_administration.csv,primary_facility_license,categorical_or_text,non_key,Primary facility license.,FAC-VLN-101
SB02,SYS-CLN-OPS,patient_administration.csv,record_status,categorical_or_text,non_key,Record status.,inactive
SB01,SYS-PR-FAC,licensed_facilities.csv,facility_license_number,identifier,primary_or_composite_key,Facility license number.,FAC-VLN-101
SB01,SYS-PR-FAC,licensed_facilities.csv,facility_name,categorical_or_text,non_key,Facility name.,Asterion Central Clinical Campus
SB01,SYS-PR-FAC,licensed_facilities.csv,facility_category,categorical_or_text,non_key,Facility category.,research_hospital
SB01,SYS-PR-FAC,licensed_facilities.csv,operating_organization_registration,categorical_or_text,non_key,Operating organization registration.,REG-VLN-01002
SB01,SYS-PR-FAC,licensed_facilities.csv,street_address,categorical_or_text,non_key,Street address.,"Asterion Central Clinical Campus, Valenne Central District"
SB01,SYS-PR-FAC,licensed_facilities.csv,region,categorical_or_text,non_key,Region.,Valenne Republic
SB01,SYS-PR-FAC,licensed_facilities.csv,latitude,numeric,non_key,Latitude.,47.2
SB01,SYS-PR-FAC,licensed_facilities.csv,longitude,numeric,non_key,Longitude.,7.51
SB01,SYS-PR-FAC,licensed_facilities.csv,license_start,date_or_datetime,non_key,License start.,2001-02-01
SB01,SYS-PR-FAC,licensed_facilities.csv,license_end,date_or_datetime,non_key,License end.,
SB01,SYS-PR-FAC,licensed_facilities.csv,facility_status,categorical_or_text,non_key,Facility status.,active
SB01,SYS-PR-FAC,licensed_facilities.csv,declared_services,categorical_or_text,non_key,Declared services.,preventive medicine; cardiac assessment; clinical research
SB01,SYS-PR-PRO,licensed_professionals.csv,license_number,identifier,primary_or_composite_key,License number.,LIC-VLN-MED-1001
SB01,SYS-PR-PRO,licensed_professionals.csv,professional_name,categorical_or_text,non_key,Professional name.,Emil Warden
SB01,SYS-PR-PRO,licensed_professionals.csv,profession,categorical_or_text,non_key,Profession.,physician
SB01,SYS-PR-PRO,licensed_professionals.csv,specialty,categorical_or_text,non_key,Specialty.,cardiology
SB01,SYS-PR-PRO,licensed_professionals.csv,license_issue_date,date_or_datetime,non_key,License issue date.,1895-07-01
SB01,SYS-PR-PRO,licensed_professionals.csv,license_expiry_date,date_or_datetime,non_key,License expiry date.,
SB01,SYS-PR-PRO,licensed_professionals.csv,license_status,categorical_or_text,non_key,License status.,active
SB01,SYS-PR-PRO,licensed_professionals.csv,primary_facility_license,categorical_or_text,non_key,Primary facility license.,FAC-VLN-101
SB01,SYS-PR-PRO,licensed_professionals.csv,registered_region,categorical_or_text,non_key,Registered region.,Valennan
SB01,SYS-PR-PRO,licensed_professionals.csv,disciplinary_status,categorical_or_text,non_key,Disciplinary status.,none
SB01,SYS-PR-OFF,officer_filings.csv,filing_id,identifier,primary_or_composite_key,Filing id.,FLG-000001
SB01,SYS-PR-OFF,officer_filings.csv,registration_number,identifier,non_key,Public legal-entity registration number.,REG-NDH-01015
SB01,SYS-PR-OFF,officer_filings.csv,officer_local_ref,categorical_or_text,non_key,Officer local ref.,OFR-20001
SB01,SYS-PR-OFF,officer_filings.csv,full_name,categorical_or_text,non_key,Full name.,Edward Vann
SB01,SYS-PR-OFF,officer_filings.csv,birth_year_or_age_band,numeric,non_key,Birth year or age band.,1815
SB01,SYS-PR-OFF,officer_filings.csv,nationality_or_region,categorical_or_text,non_key,Nationality or region.,Nordhaven
SB01,SYS-PR-OFF,officer_filings.csv,role_title,categorical_or_text,non_key,Role title.,Industrial and shipping adviser
SB01,SYS-PR-OFF,officer_filings.csv,appointment_date,date_or_datetime,non_key,Appointment date.,1840-01-01
SB01,SYS-PR-OFF,officer_filings.csv,cessation_date,date_or_datetime,non_key,Cessation date.,1888-12-31
SB01,SYS-PR-OFF,officer_filings.csv,filing_date,date_or_datetime,non_key,Filing date.,1840-03-09
SB01,SYS-PR-OFF,officer_filings.csv,service_address,categorical_or_text,non_key,Service address.,Nordhaven Union
SB01,SYS-PR-OFF,officer_filings.csv,filing_status,categorical_or_text,non_key,Filing status.,historical
SB01,SYS-PR-APT,public_appointments.csv,appointment_record_id,identifier,primary_or_composite_key,Appointment record id.,APT-000001
SB01,SYS-PR-APT,public_appointments.csv,appointing_jurisdiction,categorical_or_text,non_key,Appointing jurisdiction.,Aveloran
SB01,SYS-PR-APT,public_appointments.csv,office_holder_name,categorical_or_text,non_key,Office holder name.,Ilyan Rho
SB01,SYS-PR-APT,public_appointments.csv,recorded_birth_year,numeric,non_key,Recorded birth year.,1975
SB01,SYS-PR-APT,public_appointments.csv,office_title,categorical_or_text,non_key,Office title.,Regional pollinator and agricultural technical adviser
SB01,SYS-PR-APT,public_appointments.csv,institution_name,categorical_or_text,non_key,Institution name.,Avelora Agricultural Resilience Agency
SB01,SYS-PR-APT,public_appointments.csv,appointment_start,date_or_datetime,non_key,Appointment start.,2003-01-01
SB01,SYS-PR-APT,public_appointments.csv,appointment_end,date_or_datetime,non_key,Appointment end.,2021-09-18
SB01,SYS-PR-APT,public_appointments.csv,appointment_basis,categorical_or_text,non_key,Appointment basis.,appointed
SB01,SYS-PR-APT,public_appointments.csv,departure_reason,categorical_or_text,non_key,Departure reason.,deceased
SB01,SYS-PR-APT,public_appointments.csv,official_region,categorical_or_text,non_key,Official region.,Aveloran
SB01,SYS-PR-APT,public_appointments.csv,source_notice_reference,identifier,non_key,Source notice reference.,NOTICE-AVL-2003-0002
SB01,SYS-PR-REG,registered_entities.csv,registration_number,identifier,primary_or_composite_key,Public legal-entity registration number.,REG-VLN-01001
SB01,SYS-PR-REG,registered_entities.csv,legal_name,categorical_or_text,non_key,Legal name.,Meridian BioLogistics
SB01,SYS-PR-REG,registered_entities.csv,registered_entity_type,categorical_or_text,non_key,Registered entity type.,logistics_company
SB01,SYS-PR-REG,registered_entities.csv,registration_date,date_or_datetime,non_key,Registration date.,1996-01-15
SB01,SYS-PR-REG,registered_entities.csv,current_status,categorical_or_text,non_key,Current status.,active
SB01,SYS-PR-REG,registered_entities.csv,registered_address,categorical_or_text,non_key,Registered address.,Meridian Valenne Headquarters
SB01,SYS-PR-REG,registered_entities.csv,jurisdiction,categorical_or_text,non_key,Jurisdiction.,Valenne Republic
SB01,SYS-PR-REG,registered_entities.csv,declared_activity,categorical_or_text,non_key,Declared activity.,International biological and cold-chain logistics
SB01,SYS-PR-REG,registered_entities.csv,parent_registration_number,identifier,non_key,Parent registration number.,
SB01,SYS-PR-REG,registered_entities.csv,last_filing_date,date_or_datetime,non_key,Last filing date.,2025-03-31
SB03,SYS-ECO-RPM,bat_surveys.csv,survey_id,identifier,primary_or_composite_key,Survey id.,BAT-0000001
SB03,SYS-ECO-RPM,bat_surveys.csv,site_code,identifier,non_key,Source-local ecological monitoring-site code.,KNT-KES
SB03,SYS-ECO-RPM,bat_surveys.csv,survey_start,date_or_datetime,non_key,Survey start.,2019-01-05T18:00:00
SB03,SYS-ECO-RPM,bat_surveys.csv,survey_end,date_or_datetime,non_key,Survey end.,2019-01-12T00:00:00
SB03,SYS-ECO-RPM,bat_surveys.csv,survey_method,categorical_or_text,non_key,Survey method.,fixed_acoustic_station
SB03,SYS-ECO-RPM,bat_surveys.csv,observation_hours,numeric,non_key,Observation hours.,28.6
SB03,SYS-ECO-RPM,bat_surveys.csv,observed_bat_count,numeric,non_key,Observed bat count.,7
SB03,SYS-ECO-RPM,bat_surveys.csv,acoustic_detection_count,numeric,non_key,Acoustic detection count.,13
SB03,SYS-ECO-RPM,bat_surveys.csv,nightly_visit_count,numeric,non_key,Nightly visit count.,7
SB03,SYS-ECO-RPM,bat_surveys.csv,colony_estimate,numeric,non_key,Colony estimate.,3.8
SB03,SYS-ECO-RPM,bat_surveys.csv,comparison_species_count,numeric,non_key,Comparison species count.,8
SB03,SYS-ECO-RPM,bat_surveys.csv,observer_team,categorical_or_text,non_key,Observer team.,TEAM-11-2
SB03,SYS-ECO-RPM,bat_surveys.csv,survey_quality,categorical_or_text,non_key,Survey quality.,high
SB03,SYS-ECO-RPM,bat_surveys.csv,weather_interference,numeric,non_key,Weather interference.,32.0
SB03,SYS-ECO-RPM,environmental_monthly.csv,site_code,identifier,primary_or_composite_key,Source-local ecological monitoring-site code.,KNT-KES
SB03,SYS-ECO-RPM,environmental_monthly.csv,reporting_month,identifier,primary_or_composite_key,Reporting month.,2019-01-01
SB03,SYS-ECO-RPM,environmental_monthly.csv,mean_temperature_c,numeric,non_key,Mean temperature c.,25.25
SB03,SYS-ECO-RPM,environmental_monthly.csv,rainfall_mm,numeric,non_key,Rainfall mm.,95.0
SB03,SYS-ECO-RPM,environmental_monthly.csv,mean_humidity_pct,numeric,non_key,Mean humidity pct.,74.4
SB03,SYS-ECO-RPM,environmental_monthly.csv,vegetation_cover_pct,numeric,non_key,Vegetation cover pct.,69.7
SB03,SYS-ECO-RPM,environmental_monthly.csv,habitat_disturbance_index,numeric,non_key,Habitat disturbance index.,25.9
SB03,SYS-ECO-RPM,environmental_monthly.csv,pesticide_index,numeric,non_key,Pesticide index.,31.6
SB03,SYS-ECO-RPM,environmental_monthly.csv,land_use_category,categorical_or_text,non_key,Land use category.,karst_habitat
SB03,SYS-ECO-RPM,environmental_monthly.csv,weather_exception_code,identifier,non_key,Weather exception code.,DRY_SPELL
SB03,SYS-ECO-RPM,environmental_monthly.csv,data_completeness_pct,numeric,non_key,Data completeness pct.,98.6
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,device_operation_id,identifier,primary_or_composite_key,Device operation id.,DOP-0000001
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,site_code,identifier,non_key,Source-local ecological monitoring-site code.,KNT-KES
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,device_reference,identifier,non_key,Device reference.,DEV-KNTKES-2
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,operation_start,date_or_datetime,non_key,Operation start.,2019-01-01T00:00:00
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,operation_end,date_or_datetime,non_key,Operation end.,2019-01-31T23:59:59
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,uptime_pct,numeric,non_key,Uptime pct.,92.3
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,acoustic_quality,categorical_or_text,non_key,Acoustic quality.,85.9
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,maintenance_type,categorical_or_text,non_key,Maintenance type.,routine inspection
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,fault_code,identifier,non_key,Fault code.,STORAGE_LIMIT
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,maintenance_provider,categorical_or_text,non_key,Maintenance provider.,ECO-SERVICE-2
SB03,SYS-ECO-RPM,monitoring_device_operations.csv,record_status,categorical_or_text,non_key,Record status.,closed
SB03,SYS-ECO-RPM,monitoring_sites.csv,site_code,identifier,primary_or_composite_key,Source-local ecological monitoring-site code.,KNT-KES
SB03,SYS-ECO-RPM,monitoring_sites.csv,site_name,categorical_or_text,non_key,Site name.,Kestrel Cavern Monitoring Site
SB03,SYS-ECO-RPM,monitoring_sites.csv,site_category,categorical_or_text,non_key,Site category.,cave monitoring
SB03,SYS-ECO-RPM,monitoring_sites.csv,region,categorical_or_text,non_key,Region.,Kintara Karst Cluster
SB03,SYS-ECO-RPM,monitoring_sites.csv,jurisdiction,categorical_or_text,non_key,Jurisdiction.,Kintara Republic
SB03,SYS-ECO-RPM,monitoring_sites.csv,latitude,numeric,non_key,Latitude.,4.68
SB03,SYS-ECO-RPM,monitoring_sites.csv,longitude,numeric,non_key,Longitude.,112.31
SB03,SYS-ECO-RPM,monitoring_sites.csv,elevation_m,numeric,non_key,Elevation m.,248.0
SB03,SYS-ECO-RPM,monitoring_sites.csv,habitat_category,categorical_or_text,non_key,Habitat category.,karst_habitat
SB03,SYS-ECO-RPM,monitoring_sites.csv,cave_access_category,categorical_or_text,non_key,Cave access category.,managed
SB03,SYS-ECO-RPM,monitoring_sites.csv,orchard_context,categorical_or_text,non_key,Orchard context.,none recorded
SB03,SYS-ECO-RPM,monitoring_sites.csv,programme_start_date,date_or_datetime,non_key,Programme start date.,2016-01-01
SB03,SYS-ECO-RPM,monitoring_sites.csv,programme_end_date,date_or_datetime,non_key,Programme end date.,
SB03,SYS-ECO-RPM,monitoring_sites.csv,site_status,categorical_or_text,non_key,Site status.,active
SB03,SYS-ECO-RPM,orchard_surveys.csv,orchard_survey_id,identifier,primary_or_composite_key,Orchard survey id.,ORC-0000001
SB03,SYS-ECO-RPM,orchard_surveys.csv,site_code,identifier,non_key,Source-local ecological monitoring-site code.,AVL-MAR
SB03,SYS-ECO-RPM,orchard_surveys.csv,survey_period,date_or_datetime,non_key,Survey period.,2019-01-01
SB03,SYS-ECO-RPM,orchard_surveys.csv,orchard_area_ha,numeric,non_key,Orchard area ha.,24.1
SB03,SYS-ECO-RPM,orchard_surveys.csv,durian_flower_density,numeric,non_key,Durian flower density.,40.3
SB03,SYS-ECO-RPM,orchard_surveys.csv,fruit_set_rate_pct,numeric,non_key,Fruit set rate pct.,34.7
SB03,SYS-ECO-RPM,orchard_surveys.csv,durian_yield_kg,numeric,non_key,Durian yield kg.,20400.8
SB03,SYS-ECO-RPM,orchard_surveys.csv,other_pollinator_activity,numeric,non_key,Other pollinator activity.,55.2
SB03,SYS-ECO-RPM,orchard_surveys.csv,fertilizer_use_index,numeric,non_key,Fertilizer use index.,27.1
SB03,SYS-ECO-RPM,orchard_surveys.csv,irrigation_level,numeric,non_key,Irrigation level.,38.4
SB03,SYS-ECO-RPM,orchard_surveys.csv,agricultural_disturbance_note,categorical_or_text,non_key,Agricultural disturbance note.,  storm-related  flower  loss 
SB05,SYS-CASE-REG,regulatory_case_events.csv,regulatory_event_id,identifier,primary_or_composite_key,Regulatory event id.,RGE-000001
SB05,SYS-CASE-REG,regulatory_case_events.csv,case_number,identifier,non_key,Case number.,REG-2018-0001
SB05,SYS-CASE-REG,regulatory_case_events.csv,case_category,categorical_or_text,non_key,Case category.,environmental_complaint
SB05,SYS-CASE-REG,regulatory_case_events.csv,event_time,date_or_datetime,non_key,Event time.,2018-05-14T09:00:00
SB05,SYS-CASE-REG,regulatory_case_events.csv,activity,categorical_or_text,non_key,Activity.,case_opened
SB05,SYS-CASE-REG,regulatory_case_events.csv,subject_name,categorical_or_text,non_key,Subject name.,Avelora Agricultural Resilience Agency
SB05,SYS-CASE-REG,regulatory_case_events.csv,subject_registration_number,identifier,non_key,Subject registration number.,REG-VLN-01001
SB05,SYS-CASE-REG,regulatory_case_events.csv,agency_name,categorical_or_text,non_key,Agency name.,Tembara Customs Coordination Unit
SB05,SYS-CASE-REG,regulatory_case_events.csv,initiating_source,categorical_or_text,non_key,Initiating source.,civil society referral
SB05,SYS-CASE-REG,regulatory_case_events.csv,assigned_unit,categorical_or_text,non_key,Assigned unit.,integrity review
SB05,SYS-CASE-REG,regulatory_case_events.csv,related_site_code,identifier,non_key,Related site code.,AVL-MAR
SB05,SYS-CASE-REG,regulatory_case_events.csv,related_shipment_number,identifier,non_key,Related shipment number.,SHP-2018-00032
SB05,SYS-CASE-REG,regulatory_case_events.csv,previous_status,categorical_or_text,non_key,Previous status.,new
SB05,SYS-CASE-REG,regulatory_case_events.csv,new_status,categorical_or_text,non_key,New status.,open
SB05,SYS-CASE-REG,regulatory_case_events.csv,outcome,categorical_or_text,non_key,Outcome.,case registered
SB05,SYS-CASE-REG,regulatory_case_events.csv,public_reference,identifier,non_key,Public reference.,PUB-2020-0004
SB05,SYS-CASE-ACC,site_access_case_events.csv,access_event_id,identifier,primary_or_composite_key,Access event id.,ACE-000001
SB05,SYS-CASE-ACC,site_access_case_events.csv,access_case_number,identifier,non_key,Access case number.,ACC-2018-0001
SB05,SYS-CASE-ACC,site_access_case_events.csv,site_code,identifier,non_key,Source-local ecological monitoring-site code.,TMB-NAC
SB05,SYS-CASE-ACC,site_access_case_events.csv,event_time,date_or_datetime,non_key,Event time.,2018-01-15T09:00:00
SB05,SYS-CASE-ACC,site_access_case_events.csv,activity,categorical_or_text,non_key,Activity.,request_submitted
SB05,SYS-CASE-ACC,site_access_case_events.csv,requesting_organization_name,categorical_or_text,non_key,Requesting organization name.,Horizon Field Research Cooperative
SB05,SYS-CASE-ACC,site_access_case_events.csv,requesting_registration_number,identifier,non_key,Requesting registration number.,REG-AVL-01013
SB05,SYS-CASE-ACC,site_access_case_events.csv,authorizing_agency,categorical_or_text,non_key,Authorizing agency.,Tembara Biodiversity Service
SB05,SYS-CASE-ACC,site_access_case_events.csv,authorized_person_name,categorical_or_text,non_key,Authorized person name.,Bela Ferran
SB05,SYS-CASE-ACC,site_access_case_events.csv,access_purpose,categorical_or_text,non_key,Access purpose.,acoustic monitoring and equipment maintenance
SB05,SYS-CASE-ACC,site_access_case_events.csv,equipment_category,categorical_or_text,non_key,Equipment category.,portable monitoring and cold-storage equipment
SB05,SYS-CASE-ACC,site_access_case_events.csv,previous_status,categorical_or_text,non_key,Previous status.,draft
SB05,SYS-CASE-ACC,site_access_case_events.csv,new_status,categorical_or_text,non_key,New status.,submitted
SB05,SYS-CASE-ACC,site_access_case_events.csv,confidentiality_class,categorical_or_text,non_key,Confidentiality class.,restricted
SB05,SYS-CASE-ACC,site_access_case_events.csv,outcome,categorical_or_text,non_key,Outcome.,request logged
SB04,SYS-LOG-MER,erp_facilities.csv,facility_code,identifier,primary_or_composite_key,ERP-local facility code.,FCL-1011
SB04,SYS-LOG-MER,erp_facilities.csv,facility_name,categorical_or_text,non_key,Facility name.,Meridian Valenne Headquarters
SB04,SYS-LOG-MER,erp_facilities.csv,facility_category,categorical_or_text,non_key,Facility category.,office
SB04,SYS-LOG-MER,erp_facilities.csv,operating_partner_code,identifier,non_key,Operating partner code.,BP-30078
SB04,SYS-LOG-MER,erp_facilities.csv,street_address,categorical_or_text,non_key,Street address.,"Meridian Valenne Headquarters, Valenne Central District"
SB04,SYS-LOG-MER,erp_facilities.csv,region,categorical_or_text,non_key,Region.,Valenne Central District
SB04,SYS-LOG-MER,erp_facilities.csv,latitude,numeric,non_key,Latitude.,47.24
SB04,SYS-LOG-MER,erp_facilities.csv,longitude,numeric,non_key,Longitude.,7.58
SB04,SYS-LOG-MER,erp_facilities.csv,opening_date,date_or_datetime,non_key,Opening date.,2006-01-01
SB04,SYS-LOG-MER,erp_facilities.csv,facility_status,categorical_or_text,non_key,Facility status.,active
SB04,SYS-LOG-MER,erp_facilities.csv,storage_capabilities,categorical_or_text,non_key,Storage capabilities.,ambient
SB04,SYS-LOG-MER,goods_receipts.csv,receipt_number,identifier,primary_or_composite_key,Receipt number.,RCV-2014-00001
SB04,SYS-LOG-MER,goods_receipts.csv,purchase_order_number,identifier,non_key,Purchase order number.,PO-2014-00001
SB04,SYS-LOG-MER,goods_receipts.csv,purchase_order_line,categorical_or_text,non_key,Purchase order line.,1
SB04,SYS-LOG-MER,goods_receipts.csv,receipt_date,date_or_datetime,non_key,Receipt date.,2014-07-08
SB04,SYS-LOG-MER,goods_receipts.csv,receiving_facility_code,identifier,non_key,Receiving facility code.,FCL-1007
SB04,SYS-LOG-MER,goods_receipts.csv,supplier_partner_code,identifier,non_key,Supplier partner code.,BP-30078
SB04,SYS-LOG-MER,goods_receipts.csv,received_quantity,numeric,non_key,Received quantity.,73
SB04,SYS-LOG-MER,goods_receipts.csv,received_unit,categorical_or_text,non_key,Received unit.,case
SB04,SYS-LOG-MER,goods_receipts.csv,batch_reference,identifier,non_key,Batch reference.,B-2014-44545
SB04,SYS-LOG-MER,goods_receipts.csv,inspection_status,categorical_or_text,non_key,Inspection status.,held
SB04,SYS-LOG-MER,goods_receipts.csv,storage_location_code,identifier,non_key,Storage location code.,BIN-35
SB04,SYS-LOG-MER,goods_receipts.csv,receipt_status,categorical_or_text,non_key,Receipt status.,quality_hold
SB04,SYS-LOG-MER,inventory_adjustments.csv,adjustment_number,identifier,primary_or_composite_key,Adjustment number.,ADJ-2014-00001
SB04,SYS-LOG-MER,inventory_adjustments.csv,facility_code,identifier,non_key,ERP-local facility code.,FCL-1007
SB04,SYS-LOG-MER,inventory_adjustments.csv,adjustment_date,date_or_datetime,non_key,Adjustment date.,2014-07-18
SB04,SYS-LOG-MER,inventory_adjustments.csv,item_category,categorical_or_text,non_key,Item category.,medical_consumables
SB04,SYS-LOG-MER,inventory_adjustments.csv,adjustment_quantity,numeric,non_key,Adjustment quantity.,-1.58
SB04,SYS-LOG-MER,inventory_adjustments.csv,unit,categorical_or_text,non_key,Unit.,case
SB04,SYS-LOG-MER,inventory_adjustments.csv,adjustment_reason,categorical_or_text,non_key,Adjustment reason.,specialist programme issue
SB04,SYS-LOG-MER,inventory_adjustments.csv,approved_by_role,categorical_or_text,non_key,Approved by role.,clinical stores manager
SB04,SYS-LOG-MER,inventory_adjustments.csv,related_receipt_number,identifier,non_key,Related receipt number.,RCV-2022-00361
SB04,SYS-LOG-MER,inventory_adjustments.csv,related_shipment_number,identifier,non_key,Related shipment number.,SHP-2023-00029
SB04,SYS-LOG-MER,inventory_adjustments.csv,adjustment_status,categorical_or_text,non_key,Adjustment status.,posted
SB04,SYS-LOG-MER,inventory_month_end.csv,facility_code,identifier,primary_or_composite_key,ERP-local facility code.,FCL-1024
SB04,SYS-LOG-MER,inventory_month_end.csv,reporting_month,identifier,primary_or_composite_key,Reporting month.,2018-02-01
SB04,SYS-LOG-MER,inventory_month_end.csv,item_category,identifier,primary_or_composite_key,Item category.,biological_sample
SB04,SYS-LOG-MER,inventory_month_end.csv,opening_stock,numeric,non_key,Opening stock.,14.55 sealed_lot
SB04,SYS-LOG-MER,inventory_month_end.csv,received_quantity,numeric,non_key,Received quantity.,5.46
SB04,SYS-LOG-MER,inventory_month_end.csv,outgoing_quantity,numeric,non_key,Outgoing quantity.,0.00
SB04,SYS-LOG-MER,inventory_month_end.csv,documented_internal_use,numeric,non_key,Documented internal use.,0.49
SB04,SYS-LOG-MER,inventory_month_end.csv,documented_waste,numeric,non_key,Documented waste.,0.22
SB04,SYS-LOG-MER,inventory_month_end.csv,closing_stock,numeric,non_key,Closing stock.,16.24
