orchard_survey_id,site_code,survey_period,orchard_area_ha,durian_flower_density,fruit_set_rate_pct,durian_yield_kg,other_pollinator_activity,fertilizer_use_index,irrigation_level,agricultural_disturbance_note
ORC-0000029,AVL-MAR,2021-05-01,24.1,100.0,59.4,28351.8,73.6,33.6,44.5,
ORC-0000030,AVL-MAR,2021-06-01,24.1,92.7,49.0,21013.6,47.7,49.9,39.6,
ORC-0000031,AVL-MAR,2021-07-01,24.1,70.7,44.4,22733.0,64.2,19.5,31.6,
ORC-0000032,AVL-MAR,2021-08-01,24.1,55.0,51.9,22920.8,65.7,43.5,42.2,
ORC-0000033,AVL-MAR,2021-09-01,24.1,50.0,56.0,26293.9,75.3,40.0,24.0,
ORC-0000034,AVL-MAR,2021-10-01,24.1,53.3,51.5,22999.7,80.0,23.5,32.7,
ORC-0000035,AVL-MAR,2021-11-01,24.1,55.1,55.1,28046.6,63.4,42.9,28.1,
ORC-0000036,AVL-MAR,2021-12-01,24.1,52.6,54.6,27126.1,83.5,35.0,52.9,
ORC-0000037,AVL-MAR,2022-01-01,24.1,28.2,51.6,19666.4,77.4,21.8,32.3,
ORC-0000038,AVL-MAR,2022-02-01,24.1,29.4,33.7,16019.2,54.8,59.5,46.1,
ORC-0000039,AVL-MAR,2022-03-01,24.1,72.7,56.4,26328.1,55.7,48.5,53.0,
ORC-0000040,AVL-MAR,2022-04-01,24.1,100.0,59.1,24716.5,59.9,54.3,31.4,
ORC-0000041,AVL-MAR,2022-05-01,24.1,100.0,63.9,31193.0,69.1,40.1,30.0,
ORC-0000042,AVL-MAR,2022-06-01,24.1,99.3,63.1,30058.0,52.9,39.5,26.1,
ORC-0000043,AVL-MAR,2022-07-01,24.1,81.2,61.3,27500.7,58.4,40.2,36.4,
ORC-0000044,AVL-MAR,2022-08-01,24.1,44.8,46.1,19530.3,70.0,39.5,35.6,
ORC-0000045,AVL-MAR,2022-09-01,24.1,66.4,54.9,25893.9,65.5,39.1,58.8,
ORC-0000046,AVL-MAR,2022-10-01,24.1,49.9,44.6,19909.3,65.5,27.2,30.5,
ORC-0000047,AVL-MAR,2022-11-01,24.1,51.4,52.4,24842.4,58.0,37.9,24.5,
ORC-0000048,AVL-MAR,2022-12-01,24.1,57.7,63.0,26289.4,77.8,62.2,25.5,
ORC-0000049,AVL-MAR,2023-01-01,24.1,24.2,47.0,20393.6,65.0,50.2,35.2,
ORC-0000050,AVL-MAR,2023-02-01,24.1,29.9,47.8,20797.8,57.5,55.1,36.1,
ORC-0000051,AVL-MAR,2023-03-01,24.1,66.5,57.4,28607.0,69.0,59.3,45.5,
ORC-0000052,AVL-MAR,2023-04-01,24.1,81.8,55.7,27084.6,60.1,40.4,51.2,
ORC-0000053,AVL-MAR,2023-05-01,24.1,100.0,71.2,35446.4,63.0,49.1,30.0,
ORC-0000054,AVL-MAR,2023-06-01,24.1,95.6,55.7,21442.3,50.8,35.1,21.4,
ORC-0000055,AVL-MAR,2023-07-01,24.1,68.2,60.8,27178.8,62.7,29.2,32.8,
ORC-0000056,AVL-MAR,2023-08-01,24.1,46.7,43.7,21028.0,72.8,17.5,36.6,
ORC-0000057,AVL-MAR,2023-09-01,24.1,52.5,42.1,18877.3,60.4,38.1,39.4,
ORC-0000058,AVL-MAR,2023-10-01,24.1,49.4,60.4,26792.7,77.0,49.1,28.9,
ORC-0000059,AVL-MAR,2023-11-01,24.1,52.4,45.0,22503.7,62.0,50.2,43.6,
ORC-0000060,AVL-MAR,2023-12-01,24.1,38.1,48.5,25025.6,61.0,65.3,49.1,
ORC-0000061,AVL-MAR,2024-01-01,24.1,42.2,46.4,23074.5,71.8,43.3,59.5,
ORC-0000062,AVL-MAR,2024-02-01,24.1,35.6,45.2,20993.4,64.9,43.9,44.3,
ORC-0000063,AVL-MAR,2024-03-01,24.1,51.9,56.2,25849.5,58.9,28.2,81.0,
ORC-0000064,AVL-MAR,2024-04-01,24.1,68.3,61.2,25425.3,55.4,26.6,33.5,
ORC-0000065,AVL-MAR,2024-05-01,24.1,98.3,71.4,35730.0,73.8,36.2,32.4,
ORC-0000066,AVL-MAR,2024-06-01,24.1,98.7,66.2,29618.6,67.0,28.7,25.9,
ORC-0000067,AVL-MAR,2024-07-01,24.1,86.2,56.7,25126.5,63.2,60.8,50.2,
ORC-0000068,AVL-MAR,2024-08-01,24.1,55.6,58.0,26697.1,65.4,57.7,44.2,
ORC-0000069,AVL-MAR,2024-09-01,24.1,57.5,56.8,31044.4,66.9,45.0,46.9,
ORC-0000070,AVL-MAR,2024-10-01,24.1,38.3,42.7,23061.7,65.7,22.2,31.4,
ORC-0000071,AVL-MAR,2024-11-01,24.1,48.6,49.2,21134.2,66.2,41.1,35.2,
ORC-0000072,AVL-MAR,2024-12-01,24.1,45.1,56.5,26051.1,65.7,23.8,42.1,
ORC-0000073,AVL-MAR,2025-01-01,24.1,39.3,41.1,19094.2,46.6,39.0,41.3,
ORC-0000074,AVL-MAR,2025-02-01,24.1,29.1,42.0,21398.1,56.3,46.1,45.2,
ORC-0000075,AVL-MAR,2025-03-01,24.1,68.4,57.1,27819.3,60.9,31.4,57.6,
ORC-0000076,AVL-MAR,2025-04-01,24.1,96.8,57.3,27168.0,75.0,41.6,44.3,
ORC-0000077,AVL-MAR,2025-05-01,24.1,100.0,72.8,31905.8,57.2,58.8,32.9,
ORC-0000078,AVL-MAR,2025-06-01,24.1,100.0,70.8,35774.1,54.2,26.4,35.2,
ORC-0000079,AVL-VEL,2019-01-01,62.3,32.4,49.5,61963.3,69.7,35.2,44.3,
ORC-0000080,AVL-VEL,2019-02-01,62.3,26.1,58.2,74549.0,66.6,41.7,55.8,
ORC-0000081,AVL-VEL,2019-03-01,62.3,56.2,60.9,76219.2,73.4,25.7,47.9,
ORC-0000082,AVL-VEL,2019-04-01,62.3,83.7,62.8,77680.6,54.1,53.0,41.3,
ORC-0000083,AVL-VEL,2019-05-01,62.3,100.0,57.1,66567.4,47.5,40.9,28.6,
ORC-0000084,AVL-VEL,2019-06-01,62.3,89.2,62.5,77712.8,63.5,36.4,48.6,
ORC-0000085,AVL-VEL,2019-07-01,62.3,71.3,57.2,68817.6,57.5,27.6,30.8,
ORC-0000086,AVL-VEL,2019-08-01,62.3,41.1,50.6,55092.0,59.9,38.3,50.5,
ORC-0000087,AVL-VEL,2019-09-01,62.3,59.3,69.4,80865.3,77.9,30.9,36.0,
ORC-0000088,AVL-VEL,2019-10-01,62.3,53.4,59.1,71756.2,55.8,42.8,22.2,
ORC-0000089,AVL-VEL,2019-11-01,62.3,48.9,46.8,59848.5,49.3,34.3,21.5,
ORC-0000090,AVL-VEL,2019-12-01,62.3,49.6,46.5,44040.7,56.5,26.8,26.7,
ORC-0000091,AVL-VEL,2020-01-01,62.3,36.7,51.0,60842.8,83.5,58.4,58.1,
ORC-0000092,AVL-VEL,2020-02-01,62.3,44.6,47.4,53987.1,48.6,30.2,30.7,
ORC-0000093,AVL-VEL,2020-03-01,62.3,63.9,57.5,65265.4,63.9,36.1,52.3,
ORC-0000094,AVL-VEL,2020-04-01,62.3,92.8,63.9,82568.1,56.8,28.1,35.8,
ORC-0000095,AVL-VEL,2020-05-01,62.3,91.8,59.7,77092.3,63.5,56.5,30.2,
ORC-0000096,AVL-VEL,2020-06-01,62.3,96.0,64.6,75032.2,48.9,36.7,29.2,
ORC-0000097,AVL-VEL,2020-07-01,62.3,68.4,47.3,56515.7,58.8,33.2,35.2,
ORC-0000098,AVL-VEL,2020-08-01,62.3,52.5,53.3,73338.1,71.4,28.2,41.6,
ORC-0000099,AVL-VEL,2020-09-01,62.3,69.3,59.0,73265.9,51.6,24.9,28.8,
ORC-0000100,AVL-VEL,2020-10-01,62.3,51.5,61.8,70820.7,60.5,30.7,37.5,
ORC-0000101,AVL-VEL,2020-11-01,62.3,51.9,61.4,78809.8,76.6,35.2,44.1,
ORC-0000102,AVL-VEL,2020-12-01,62.3,51.1,63.4,73238.6,55.6,63.6,48.3,
ORC-0000103,AVL-VEL,2021-01-01,62.3,44.3,51.4,58759.5,56.0,13.6,26.8,
ORC-0000104,AVL-VEL,2021-02-01,62.3,41.5,47.7,59131.0,66.6,46.3,54.4,
ORC-0000105,AVL-VEL,2021-03-01,62.3,69.6,58.5,71984.3,67.5,22.3,45.2,
ORC-0000106,AVL-VEL,2021-04-01,62.3,88.8,73.0,92044.0,67.3,41.3,52.5,
ORC-0000107,AVL-VEL,2021-05-01,62.3,100.0,70.1,80420.6,64.4,40.6,47.4,
ORC-0000108,AVL-VEL,2021-06-01,62.3,96.6,74.2,93282.4,63.2,64.2,45.0,
ORC-0000109,AVL-VEL,2021-07-01,62.3,85.5,60.8,78183.0,64.1,36.3,40.6,
ORC-0000110,AVL-VEL,2021-08-01,62.3,49.1,59.3,66469.6,65.5,37.7,23.6,
ORC-0000111,AVL-VEL,2021-09-01,62.3,46.9,58.4,73648.2,72.3,22.0,51.1,
ORC-0000112,AVL-VEL,2021-10-01,62.3,48.4,53.2,65005.8,64.6,38.6,29.4,
ORC-0000113,AVL-VEL,2021-11-01,62.3,47.3,49.8,52126.6,63.8,40.8,34.1,
ORC-0000114,AVL-VEL,2021-12-01,62.3,52.3,44.4,50304.5,64.7,30.1,35.2,
ORC-0000115,AVL-VEL,2022-01-01,62.3,49.9,57.3,61747.1,59.6,12.1,22.7,
ORC-0000116,AVL-VEL,2022-02-01,62.3,35.7,53.7,68274.4,61.0,45.2,53.9,
ORC-0000117,AVL-VEL,2022-03-01,62.3,70.4,63.7,74148.4,56.9,47.0,48.5,
ORC-0000118,AVL-VEL,2022-04-01,62.3,82.1,67.0,90900.9,65.0,41.0,55.9,
ORC-0000119,AVL-VEL,2022-05-01,62.3,90.7,60.6,78575.2,58.7,26.1,42.0,
ORC-0000120,AVL-VEL,2022-06-01,62.3,96.7,64.2,87102.0,59.0,35.9,46.3,
ORC-0000121,AVL-VEL,2022-07-01,62.3,86.2,58.0,64565.8,66.0,50.4,42.9,
ORC-0000122,AVL-VEL,2022-08-01,62.3,46.5,59.0,66757.2,60.2,48.6,36.1,
ORC-0000123,AVL-VEL,2022-09-01,62.3,51.8,61.8,66535.6,65.7,30.2,42.0,
ORC-0000124,AVL-VEL,2022-10-01,62.3,48.4,65.3,82420.9,79.7,38.4,34.0,
ORC-0000125,AVL-VEL,2022-11-01,62.3,49.7,49.3,55186.8,63.6,53.0,42.0,
ORC-0000126,AVL-VEL,2022-12-01,62.3,40.8,50.5,63999.0,59.8,32.6,29.2,
ORC-0000127,AVL-VEL,2023-01-01,62.3,35.1,52.4,60393.9,65.9,45.0,38.9,
ORC-0000128,AVL-VEL,2023-02-01,62.3,42.1,54.8,72328.3,71.7,41.6,60.7,
ORC-0000129,AVL-VEL,2023-03-01,62.3,76.6,64.6,72700.2,54.1,22.7,38.1,
ORC-0000130,AVL-VEL,2023-04-01,62.3,100.0,74.1,90892.8,58.3,24.8,34.3,
ORC-0000131,AVL-VEL,2023-05-01,62.3,100.0,66.4,75223.9,76.2,37.8,47.8,
ORC-0000132,AVL-VEL,2023-06-01,62.3,77.1,51.9,64678.8,63.6,44.7,34.1,
ORC-0000133,AVL-VEL,2023-07-01,62.3,92.6,68.4,84676.3,67.9,25.8,56.1,
ORC-0000134,AVL-VEL,2023-08-01,62.3,55.6,62.0,76675.3,72.5,33.9,39.1,
ORC-0000135,AVL-VEL,2023-09-01,62.3,49.9,57.0,74826.2,69.2,43.7,30.3,
ORC-0000136,AVL-VEL,2023-10-01,62.3,51.3,56.3,72103.9,74.5,53.9,42.1,
ORC-0000137,AVL-VEL,2023-11-01,62.3,46.9,44.4,56591.6,69.1,26.6,43.0,
ORC-0000138,AVL-VEL,2023-12-01,62.3,49.8,54.6,70203.5,55.5,28.5,52.4,
ORC-0000139,AVL-VEL,2024-01-01,62.3,33.7,41.3,49568.0,55.0,41.4,40.6,
ORC-0000140,AVL-VEL,2024-02-01,62.3,24.5,52.1,57826.2,68.7,30.3,46.2,
ORC-0000141,AVL-VEL,2024-03-01,62.3,63.9,57.6,75798.0,69.4,50.2,55.2,
ORC-0000142,AVL-VEL,2024-04-01,62.3,98.8,63.2,71184.7,76.1,42.7,42.0,
ORC-0000143,AVL-VEL,2024-05-01,62.3,93.7,69.7,73293.8,72.3,27.3,31.2,
ORC-0000144,AVL-VEL,2024-06-01,62.3,100.0,64.4,87817.2,66.7,47.1,48.0,
ORC-0000145,AVL-VEL,2024-07-01,62.3,68.5,61.5,73260.1,71.1,43.1,39.6,
ORC-0000146,AVL-VEL,2024-08-01,62.3,65.1,48.6,62023.9,64.8,37.3,31.2,
ORC-0000147,AVL-VEL,2024-09-01,62.3,60.1,61.3,68846.0,72.5,26.3,40.3,
ORC-0000148,AVL-VEL,2024-10-01,62.3,53.4,42.7,45554.5,58.9,56.7,28.2,
ORC-0000149,AVL-VEL,2024-11-01,62.3,50.7,45.8,51222.8,66.0,43.4,31.3,
ORC-0000150,AVL-VEL,2024-12-01,62.3,38.9,49.7,51784.2,79.2,39.6,38.0,
ORC-0000151,AVL-VEL,2025-01-01,62.3,29.6,39.3,47427.9,47.6,24.8,29.3,
ORC-0000152,AVL-VEL,2025-02-01,62.3,24.6,59.9,73149.7,76.5,40.0,47.9,
ORC-0000153,AVL-VEL,2025-03-01,62.3,47.1,57.4,73150.5,64.9,25.3,43.3,
ORC-0000154,AVL-VEL,2025-04-01,62.3,75.7,63.9,81178.3,64.5,18.9,55.8,
ORC-0000155,AVL-VEL,2025-05-01,62.3,90.6,63.8,83950.3,60.7,46.2,37.9,
ORC-0000156,AVL-VEL,2025-06-01,62.3,100.0,70.7,90503.3,72.5,20.5,49.6,
ORC-0000157,AVL-ORR,2019-01-01,59.7,38.0,48.1,51772.7,54.0,38.9,49.4,
ORC-0000158,AVL-ORR,2019-02-01,59.7,42.3,51.2,60734.4,57.7,25.8,55.2,
ORC-0000159,AVL-ORR,2019-03-01,59.7,61.4,51.2,48613.8,54.0,28.1,33.2,
ORC-0000160,AVL-ORR,2019-04-01,59.7,96.2,59.1,70778.2,53.6,43.2,40.0,
ORC-0000161,AVL-ORR,2019-05-01,59.7,100.0,66.9,84280.8,63.4,45.2,34.2,
ORC-0000162,AVL-ORR,2019-06-01,59.7,90.5,49.4,62041.4,54.1,38.8,50.2,
ORC-0000163,AVL-ORR,2019-07-01,59.7,71.1,49.8,63418.3,71.1,39.5,34.7,
ORC-0000164,AVL-ORR,2019-08-01,59.7,59.4,52.2,63131.7,62.2,52.5,33.1,
ORC-0000165,AVL-ORR,2019-09-01,59.7,73.8,58.1,70944.5,56.2,26.4,50.3,
ORC-0000166,AVL-ORR,2019-10-01,59.7,47.0,52.9,60080.8,67.9,36.9,28.9,
ORC-0000167,AVL-ORR,2019-11-01,59.7,31.6,45.9,49477.2,61.7,34.7,41.5,
ORC-0000168,AVL-ORR,2019-12-01,59.7,47.9,47.4,61406.4,67.1,38.1,37.8,
ORC-0000169,AVL-ORR,2020-01-01,59.7,34.7,38.7,42556.2,52.1,39.3,45.8,
ORC-0000170,AVL-ORR,2020-02-01,59.7,45.6,40.4,52656.8,68.1,28.0,36.1,
ORC-0000171,AVL-ORR,2020-03-01,59.7,67.2,61.3,80846.9,58.3,46.5,43.4,
ORC-0000172,AVL-ORR,2020-04-01,59.7,86.9,65.9,74769.0,60.4,46.1,45.2,
ORC-0000173,AVL-ORR,2020-05-01,59.7,100.0,71.8,84262.2,68.1,30.2,44.3,
ORC-0000174,AVL-ORR,2020-06-01,59.7,99.7,67.8,73913.3,61.9,36.0,45.8,
ORC-0000175,AVL-ORR,2020-07-01,59.7,75.0,44.9,49766.2,46.8,49.7,52.6,
ORC-0000176,AVL-ORR,2020-08-01,59.7,61.4,53.7,60714.8,68.2,56.4,38.0,
ORC-0000177,AVL-ORR,2020-09-01,59.7,64.5,63.4,67262.2,67.2,31.9,42.8,
ORC-0000178,AVL-ORR,2020-10-01,59.7,54.1,52.6,60724.9,62.4,34.3,43.0,
ORC-0000179,AVL-ORR,2020-11-01,59.7,51.0,51.5,58933.4,58.5,23.0,44.8,
ORC-0000180,AVL-ORR,2020-12-01,59.7,46.1,45.6,53276.0,61.3,49.6,33.9,
ORC-0000181,AVL-ORR,2021-01-01,59.7,33.9,56.8,65014.8,71.4,38.8,53.5,
ORC-0000182,AVL-ORR,2021-02-01,59.7,32.1,41.7,53684.4,56.9,33.4,40.8,
ORC-0000183,AVL-ORR,2021-03-01,59.7,55.4,54.7,65629.9,66.0,33.9,47.8,
ORC-0000184,AVL-ORR,2021-04-01,59.7,84.9,56.3,77773.8,63.4,49.4,46.2,
ORC-0000185,AVL-ORR,2021-05-01,59.7,100.0,60.3,71202.0,48.3,57.6,37.7,
ORC-0000186,AVL-ORR,2021-06-01,59.7,95.2,67.2,75254.9,45.8,46.0,42.9,
ORC-0000187,AVL-ORR,2021-07-01,59.7,80.1,63.6,75631.3,74.2,51.3,39.4,
ORC-0000188,AVL-ORR,2021-08-01,59.7,53.0,48.6,50231.9,59.5,39.5,51.9,
ORC-0000189,AVL-ORR,2021-09-01,59.7,64.8,54.0,61305.0,71.9,43.4,32.1,
ORC-0000190,AVL-ORR,2021-10-01,59.7,57.1,55.8,68437.6,54.7,37.0,26.4,
ORC-0000191,AVL-ORR,2021-11-01,59.7,47.5,47.7,54236.3,63.9,46.5,35.1,
ORC-0000192,AVL-ORR,2021-12-01,59.7,32.3,52.8,57167.0,68.1,38.7,35.8,
ORC-0000193,AVL-ORR,2022-01-01,59.7,28.4,54.5,71318.6,71.7,49.4,60.5,
ORC-0000194,AVL-ORR,2022-02-01,59.7,33.1,55.5,67869.0,64.0,35.1,59.3,
ORC-0000195,AVL-ORR,2022-03-01,59.7,69.3,66.0,76238.8,70.1,29.9,39.0,
ORC-0000196,AVL-ORR,2022-04-01,59.7,80.4,60.0,70302.7,56.6,57.4,58.6,
ORC-0000197,AVL-ORR,2022-05-01,59.7,88.0,55.4,62547.7,67.6,29.6,42.1,
ORC-0000198,AVL-ORR,2022-06-01,59.7,92.7,68.8,77458.5,53.1,48.2,32.9,
ORC-0000199,AVL-ORR,2022-07-01,59.7,77.6,59.1,69501.5,56.0,41.9,17.6,
ORC-0000200,AVL-ORR,2022-08-01,59.7,50.4,56.6,58208.5,53.5,50.1,38.2,
ORC-0000201,AVL-ORR,2022-09-01,59.7,59.4,53.6,55486.8,73.6,30.1,38.8,
ORC-0000202,AVL-ORR,2022-10-01,59.7,72.8,49.6,52076.2,56.9,27.1,46.0,
ORC-0000203,AVL-ORR,2022-11-01,59.7,52.4,55.6,62329.7,63.4,28.6,37.5,
ORC-0000204,AVL-ORR,2022-12-01,59.7,43.6,56.9,72596.8,53.5,52.2,28.0,
ORC-0000205,AVL-ORR,2023-01-01,59.7,44.3,49.3,51049.1,62.2,38.2,36.8,
ORC-0000206,AVL-ORR,2023-02-01,59.7,42.9,54.0,67810.1,56.2,42.2,35.5,
ORC-0000207,AVL-ORR,2023-03-01,59.7,70.3,61.5,68505.8,65.7,37.5,39.5,
ORC-0000208,AVL-ORR,2023-04-01,59.7,85.5,56.7,68084.3,49.0,65.8,52.7,
ORC-0000209,AVL-ORR,2023-05-01,59.7,100.0,66.1,85731.6,62.2,22.1,51.8,
ORC-0000210,AVL-ORR,2023-06-01,59.7,96.2,66.6,77198.3,52.5,40.1,38.4,
ORC-0000211,AVL-ORR,2023-07-01,59.7,88.2,51.8,51886.8,58.6,41.0,38.6,
ORC-0000212,AVL-ORR,2023-08-01,59.7,52.1,56.2,65052.5,71.1,37.8,19.9,
ORC-0000213,AVL-ORR,2023-09-01,59.7,57.4,50.6,57171.1,69.5,36.8,34.7,
ORC-0000214,AVL-ORR,2023-10-01,59.7,45.2,53.0,59100.6,72.7,25.4,29.3,
ORC-0000215,AVL-ORR,2023-11-01,59.7,47.0,57.0,70407.0,64.1,24.4,41.9,
ORC-0000216,AVL-ORR,2023-12-01,59.7,33.6,57.2,58630.1,69.5,34.6,36.4,
ORC-0000217,AVL-ORR,2024-01-01,59.7,31.7,45.1,58989.3,57.6,47.7,32.2,
ORC-0000218,AVL-ORR,2024-02-01,59.7,30.2,36.8,36528.2,57.1,41.1,41.7,
ORC-0000219,AVL-ORR,2024-03-01,59.7,69.1,59.8,80178.5,75.0,36.7,69.4,
ORC-0000220,AVL-ORR,2024-04-01,59.7,87.7,63.9,72798.1,54.3,45.1,32.7,
ORC-0000221,AVL-ORR,2024-05-01,59.7,97.6,61.4,74208.7,46.2,41.4,34.4,
ORC-0000222,AVL-ORR,2024-06-01,59.7,95.3,55.7,66829.2,48.9,24.9,37.9,
ORC-0000223,AVL-ORR,2024-07-01,59.7,78.0,60.5,65469.3,69.0,35.3,34.1,
ORC-0000224,AVL-ORR,2024-08-01,59.7,43.7,44.3,50568.3,49.2,38.6,51.4,
ORC-0000225,AVL-ORR,2024-09-01,59.7,53.9,56.8,73709.3,72.3,41.2,41.3,
ORC-0000226,AVL-ORR,2024-10-01,59.7,55.7,50.3,57902.0,58.8,44.6,36.0,
ORC-0000227,AVL-ORR,2024-11-01,59.7,51.7,51.7,60490.4,65.9,50.4,34.0,
ORC-0000228,AVL-ORR,2024-12-01,59.7,35.2,42.2,45062.8,63.4,41.3,41.5,
ORC-0000229,AVL-ORR,2025-01-01,59.7,42.8,48.4,41091.3,58.9,37.2,29.6,
ORC-0000230,AVL-ORR,2025-02-01,59.7,27.0,53.6,65545.2,52.4,49.3,55.8,
ORC-0000231,AVL-ORR,2025-03-01,59.7,60.7,54.5,61990.0,61.5,36.7,42.2,
ORC-0000232,AVL-ORR,2025-04-01,59.7,87.7,60.0,72663.0,55.7,42.1,47.9,
ORC-0000233,AVL-ORR,2025-05-01,59.7,95.7,59.2,68424.6,59.5,16.4,44.6,
ORC-0000234,AVL-ORR,2025-06-01,59.7,97.9,69.1,76227.4,57.7,42.7,46.0,
ORC-0000235,AVL-TRP,2019-01-01,54.7,39.0,44.8,41886.9,51.1,29.2,33.8,
ORC-0000236,AVL-TRP,2019-02-01,54.7,32.9,37.1,35998.6,47.0,34.7,28.7,
ORC-0000237,AVL-TRP,2019-03-01,54.7,71.0,55.4,63764.2,58.7,52.1,44.5,
ORC-0000238,AVL-TRP,2019-04-01,54.7,87.2,46.4,53718.4,51.2,33.9,49.4,
ORC-0000239,AVL-TRP,2019-05-01,54.7,94.4,58.5,62438.5,60.0,40.5,30.5,
ORC-0000240,AVL-TRP,2019-06-01,54.7,100.0,75.7,80463.9,80.2,43.0,34.0,
ORC-0000241,AVL-TRP,2019-07-01,54.7,93.6,72.9,73521.0,56.4,37.2,40.1,
ORC-0000242,AVL-TRP,2019-08-01,54.7,61.5,55.5,61300.7,69.9,35.2,29.8,
ORC-0000243,AVL-TRP,2019-09-01,54.7,64.2,52.0,58595.3,56.9,28.9,26.4,
ORC-0000244,AVL-TRP,2019-10-01,54.7,60.3,56.8,63721.0,64.4,53.2,40.1,
ORC-0000245,AVL-TRP,2019-11-01,54.7,68.3,51.0,58274.4,63.0,38.9,36.2,
ORC-0000246,AVL-TRP,2019-12-01,54.7,42.2,41.5,44499.9,51.8,40.3,46.4,
ORC-0000247,AVL-TRP,2020-01-01,54.7,49.9,47.0,48362.1,48.8,31.7,49.3,
ORC-0000248,AVL-TRP,2020-02-01,54.7,39.2,50.3,59029.9,54.8,33.3,49.1,
ORC-0000249,AVL-TRP,2020-03-01,54.7,68.9,60.2,60956.8,66.0,32.2,42.3,
ORC-0000250,AVL-TRP,2020-04-01,54.7,95.3,51.1,49036.2,54.6,31.7,53.7,
ORC-0000251,AVL-TRP,2020-05-01,54.7,100.0,66.0,70824.1,62.1,26.9,43.0,
ORC-0000252,AVL-TRP,2020-06-01,54.7,100.0,64.1,64116.9,61.8,34.9,33.5,
ORC-0000253,AVL-TRP,2020-07-01,54.7,77.9,68.9,66039.8,71.3,25.4,44.7,
ORC-0000254,AVL-TRP,2020-08-01,54.7,56.6,49.6,54751.7,52.5,39.9,34.9,
ORC-0000255,AVL-TRP,2020-09-01,54.7,60.0,43.9,49843.3,51.9,42.1,32.2,
ORC-0000256,AVL-TRP,2020-10-01,54.7,58.1,50.3,52028.5,68.2,45.8,39.8,
ORC-0000257,AVL-TRP,2020-11-01,54.7,53.3,48.0,58274.7,55.7,33.7,50.9,
ORC-0000258,AVL-TRP,2020-12-01,54.7,46.9,43.5,40429.5,63.4,33.1,36.4,
ORC-0000259,AVL-TRP,2021-01-01,54.7,57.3,54.2,55340.2,70.3,44.5,41.9,
ORC-0000260,AVL-TRP,2021-02-01,54.7,29.1,52.5,56632.3,54.7,46.4,40.7,
